"'LOTE","'FECHA","'METODO","'N.DE LITROS","'VALOR","'N.DE JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'Danutic","'08-14","'Goodaua","'","'2 cuadras x","'NO 000","'","'220000","'33083.400",
"'co","'08.26","'Guadaua","'","'5 ""","'""","'","'550000","'33'633.400",
"'Rubi 2","'08-","'","'","'","'10","'","'480000","'34'113.400",
"'Libro","'08-23","'Guadaia","'","'","'","'","'440000","'34'553 400",
"'Batia","'08-20","'C.Q/00","'3,6+1.5","'132000","'","'240.000","'372.000","'34'925.400",
"'peop","'08-","'Derbijucata","'","'","'","'","'","'",
"'Gramera","'08.29","'C.Q/W","'4B+2","'214000","'320.000","'","'534000","'35 459 400",
"'porton","'09-6","'Gradaia","'","'","'","'","'880000","'36'339.400",
"'Caroool","'09-6","'C.Q/CO","'4,5+1.5","'180000","'3 caucas","'240000","'420.000","'36'759400",
"'puladan","'09-18","'C.0/20","'CL+24","'140 000","'","'320000","'460000","'37219400",
"'ii->","'er","'Getty","'","'","'","'","'","'",
"'porton","'09-24","'Dasbeyucada","'","'","'18","'","'864000","'38'083 400 39'139400",
"'Danubio","'11.4","'plated","'","'","'22","'","'1056000","'39'379400",
"'Danubid","'11-18","'Guadaua","'zanadras 120.000","'wadra","'","'","'240000","'39'779400",
"'Batea","'11-21","'II","'","'x 120.000","'","'","'420.000","'40'819400",
"'Postair","'11 - 22","'11","'8,Sevadies","'x120000","'","'","'1'020000 660.000","'41479400",
"'Rubi)","'11-26","'11","'","'","'","'","'","'",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'92.23632813","'91.16210938","'93.40820313","'92.67578125","'93.75000000","'92.72460938","'93.21289063","'92.48046875","'94.28710938",
"'85.93750000","'84.96093750","'87.06054688","'86.37695313","'87.35351563","'86.42578125","'86.86523438","'86.18164063","'87.84179688",
"'87.89062500","'86.86523438","'89.01367188","'88.33007813","'89.35546875","'88.37890625","'88.81835938","'88.13476563","'89.84375000",
"'87.89062500","'86.86523438","'89.01367188","'88.33007813","'89.35546875","'88.37890625","'88.81835938","'88.13476563","'89.84375000",
"'86.47460938","'85.44921875","'87.54882813","'86.91406250","'87.89062500","'86.96289063","'87.40234375","'86.66992188","'88.37890625",
"'89.99023438","'88.96484375","'91.16210938","'90.47851563","'91.50390625","'90.52734375","'90.96679688","'90.23437500","'91.99218750",
"'77.73437500","'76.85546875","'78.75976563","'78.12500000","'79.00390625","'78.17382813","'78.56445313","'77.92968750","'79.44335938",
"'85.49804688","'84.52148438","'86.57226563","'85.93750000","'86.91406250","'85.98632813","'86.42578125","'85.69335938","'87.40234375",
"'85.10742188","'84.13085938","'86.23046875","'85.54687500","'86.52343750","'85.59570313","'86.03515625","'85.35156250","'87.01171875",
"'84.08203125","'83.15429688","'85.20507813","'84.52148438","'85.49804688","'84.57031250","'85.00976563","'84.32617188","'85.98632813",
"'89.06250000","'88.03710938","'90.18554688","'89.50195313","'90.52734375","'89.55078125","'89.99023438","'89.25781250","'91.01562500",
"'70.11718750","'69.33593750","'71.04492188","'70.50781250","'71.28906250","'70.50781250","'70.89843750","'70.31250000","'71.67968750",
"'81.73828125","'80.81054688","'82.81250000","'82.17773438","'83.10546875","'82.22656250","'82.61718750","'81.98242188","'83.54492188",
"'83.54492188","'82.61718750","'84.61914063","'83.98437500","'84.91210938","'84.03320313","'84.47265625","'83.74023438","'85.40039063",
"'86.52343750","'85.54687500","'87.64648438","'87.01171875","'87.98828125","'87.06054688","'87.50000000","'86.76757813","'88.47656250",
"'83.59375000","'82.66601563","'84.66796875","'84.03320313","'84.96093750","'84.08203125","'84.52148438","'83.78906250","'85.44921875",
"'76.95312500","'76.07421875","'77.92968750","'77.34375000","'78.22265625","'77.39257813","'77.78320313","'77.14843750","'78.66210938",
"'82.47070313","'81.54296875","'83.54492188","'82.91015625","'83.83789063","'82.95898438","'83.39843750","'82.71484375","'84.32617188",
