"'fecha 06-28","'kilos café 471","'N.jornales 22","'valor.jor","'A. kilos","'A.valor","'A.jor","'bultos","'kilos","'A.bultos","'A.kilos",
"'07-26","'","'","'565 200","'37500","'35'370.100","'803","'2","'12","'","'",
"'08.2","'838","'30","'1'318000","'38338","'36'688 100","'833","'4","'7","'185 189","'319 326",
"'08-9","'1098","'35","'1658000","'39436","'38'346.100","'868","'5","'12","'194","'331",
"'08-16","'1440","'48","'2208000","'40876","'40'554100","'916","'7","'-","'201","'331",
"'08.23","'2082","'55","'2'962000","'42958","'43'516 100","'971","'10","'-","'211","'331",
"'","'1377","'40","'2'170.000","'44335","'45686100","'1011","'6","'35","'2107","'366",
"'08.30","'2872","'73","'4040000","'47207","'49 726100","'1084","'14","'13","'231","'379",
"'09-6","'2855","'72","'4'007.000","'50062","'53.733.100","'1156","'14","'10","'245","'389",
"'09-13","'4835","'115","'6'675000","'54897","'60'408.100","'1271","'24","'5","'269","'394",
"'09-20","'10465","'140","'11'511.500","'65362","'71991600","'1411","'52","'9","'321","'403",
"'09-27","'14.215","'173","'15 636500","'79,577","'87556100","'1584","'73","'12","'394","'415",
"'10-5","'16.299","'250","'17928900","'95876","'105'485000","'1834","'84","'-","'478","'415",
"'10-11","'21720","'235","'23792000","'117596","'129277000","'2069","'112","'-","'590","'415",
"'10-18","'26307","'245","'28'937 700","'143903","'158'214700","'2314","'135","'28","'725","'443",
"'10-25","'18095","'231","'19 827 000","'161998","'178'041700","'2545","'93","'12","'818","'455",
"'11-1","'15/37","'180","'16'650700","'177135","'194692400","'2725","'78","'-","'896","'455",
"'11-8","'12823","'185","'14'105,300","'189958","'208797700","'2910","'66","'5","'962","'460",
"'11-15","'18229","'180","'20'051900","'208187","'228'849600","'3090","'94","'0","'1056","'460",
"'11-22","'15756","'172","'17'333600","'223943","'246183200","'3262","'81","'10","'1137","'470",
"'11.29","'10.493","'115","'11542300","'234436","'257'725500","'3377","'53","'30","'1190","'500",
"'12-6","'6467","'105","'7'113700","'240903","'264839200","'3483","'33","'13","'1223","'530",
"'TOTAL/2-14","'5918","'45","'6509800","'246821","'271349000,","'3528","'30","'20","'1253","'550",
"'12-20","'6438","'85","'7'801800","'253259","'279150.800","'3613","'33","'8","'1286","'558",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'82.81250000","'80.66406250","'82.47070313","'83.88671875","'82.17773438","'84.86328125","'82.17773438","'83.98437500","'83.15429688","'82.76367188","'80.85937500",
"'73.24218750","'71.38671875","'72.94921875","'74.21875000","'72.70507813","'75.09765625","'72.70507813","'74.31640625","'73.53515625","'73.19335938","'71.53320313",
"'86.57226563","'84.32617188","'86.23046875","'87.69531250","'85.88867188","'88.72070313","'85.88867188","'87.79296875","'86.91406250","'86.52343750","'84.52148438",
"'87.10937500","'84.91210938","'86.76757813","'88.28125000","'86.47460938","'89.30664063","'86.47460938","'88.37890625","'87.50000000","'87.06054688","'85.05859375",
"'87.54882813","'85.30273438","'87.15820313","'88.72070313","'86.86523438","'89.74609375","'86.86523438","'88.81835938","'87.89062500","'87.50000000","'85.49804688",
"'87.89062500","'85.64453125","'87.54882813","'89.06250000","'87.25585938","'90.13671875","'87.25585938","'89.16015625","'88.28125000","'87.89062500","'85.83984375",
"'87.64648438","'85.40039063","'87.25585938","'88.81835938","'86.96289063","'89.84375000","'86.96289063","'88.86718750","'87.98828125","'87.59765625","'85.54687500",
"'88.86718750","'86.62109375","'88.52539063","'90.08789063","'88.18359375","'91.11328125","'88.18359375","'90.18554688","'89.25781250","'88.86718750","'86.81640625",
"'88.81835938","'86.52343750","'88.42773438","'89.99023438","'88.13476563","'91.01562500","'88.13476563","'90.08789063","'89.16015625","'88.76953125","'86.71875000",
"'87.64648438","'85.40039063","'87.25585938","'88.81835938","'86.96289063","'89.84375000","'86.96289063","'88.86718750","'87.98828125","'87.59765625","'85.54687500",
"'88.81835938","'86.52343750","'88.42773438","'89.99023438","'88.13476563","'91.01562500","'88.13476563","'90.08789063","'89.16015625","'88.76953125","'86.71875000",
"'88.33007813","'86.08398438","'87.98828125","'89.50195313","'87.64648438","'90.52734375","'87.64648438","'89.59960938","'88.67187500","'88.28125000","'86.23046875",
"'89.20898438","'86.91406250","'88.86718750","'90.38085938","'88.52539063","'91.45507813","'88.52539063","'90.47851563","'89.59960938","'89.16015625","'87.10937500",
"'88.28125000","'86.03515625","'87.93945313","'89.45312500","'87.59765625","'90.47851563","'87.59765625","'89.55078125","'88.62304688","'88.23242188","'86.18164063",
"'89.84375000","'87.50000000","'89.45312500","'91.01562500","'89.11132813","'92.08984375","'89.11132813","'91.11328125","'90.18554688","'89.79492188","'87.69531250",
"'90.13671875","'87.84179688","'89.79492188","'91.35742188","'89.45312500","'92.43164063","'89.45312500","'91.45507813","'90.52734375","'90.08789063","'88.03710938",
"'89.64843750","'87.35351563","'89.25781250","'90.82031250","'88.96484375","'91.89453125","'88.96484375","'90.91796875","'89.99023438","'89.59960938","'87.50000000",
"'89.79492188","'87.45117188","'89.40429688","'90.96679688","'89.06250000","'92.04101563","'89.06250000","'91.06445313","'90.13671875","'89.74609375","'87.64648438",
"'89.89257813","'87.59765625","'89.55078125","'91.11328125","'89.20898438","'92.18750000","'89.20898438","'91.21093750","'90.28320313","'89.84375000","'87.79296875",
"'90.33203125","'88.03710938","'89.94140625","'91.55273438","'89.64843750","'92.57812500","'89.64843750","'91.65039063","'90.72265625","'90.28320313","'88.18359375",
"'90.67382813","'88.33007813","'90.28320313","'91.84570313","'89.94140625","'92.91992188","'89.94140625","'91.94335938","'91.01562500","'90.62500000","'88.52539063",
"'90.03906250","'87.74414063","'89.69726563","'91.25976563","'89.35546875","'92.33398438","'89.35546875","'91.35742188","'90.42968750","'89.99023438","'87.93945313",
"'89.11132813","'86.81640625","'88.76953125","'90.33203125","'88.42773438","'91.35742188","'88.42773438","'90.38085938","'89.50195313","'89.06250000","'87.01171875",
"'93.21289063","'90.82031250","'92.82226563","'94.48242188","'92.48046875","'95.55664063","'92.48046875","'94.53125000","'93.60351563","'93.16406250","'91.01562500",
