"'LOTE","'FECHA","'METODO","'N.DE LITROS","'VALOR","'N.DE JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'8","'08.7","'C.Q/W","'7,SL+1,5","'249000","'48000","'520,000","'769000","'51 887.060",
"'5","'08-13","'Desbojucada","'","'","'18","'","'874000","'52'761060",
"'4","'08-2","'""","'","'","'","'","'144000","'52'905.060",
"'6","'08-14","'""","'","'","'10","'","'480.000","'53'385.000",
"'1.B.R","'08.16","'plateo","'","'","'8,5","'","'408000","'53'793 000",
"'11","'08-14","'C.Q/CO","'","'","'","'","'320.000","'54'113.000",
"'1","'08-23","'C.Q/CO","'4,5","'135000","'","'320.000","'455.000","'54'568000",
"'zatra 1","'08-21","'""","'4.5","'135000","'","'320000","'455000","'55'023.060",
"'8","'08.21","'","'","'","'19","'","'912000","'55'935.060",
"'1B.R","'08.30","'Deschuponada","'lotes 1-11","'B.R.","'2","'","'96000","'56031.060",
"'10","'08.7","'saulda","'","'","'9,5","'","'456000","'56'487.000",
"'9","'08-22","'Suida Beuco","'","'","'5.0","'","'240.000","'56'727.060",
"'3","'08-31","'"" "","'","'","'16","'778000","'778000","'57'505.060",
"'7","'09-4","'@ a co","'10,SL+3,SL","'420000","'","'840000","'j260.000","'58'765060",
"'13","'09-6","'suilda Debijucada","'","'","'13*48000","'","'624000","'59'389060",
"'2","'09-10","'C.Q/W","'4,5+1,5","'180000","'","'288000","'468000","'59'857.060",
"'13","'09.9","'C.Q/20","'4,5+1,5","'180000","'","'248000","'428000","'60 285.000",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'84.17968750","'89.74609375","'92.18750000","'92.62695313","'94.04296875","'93.21289063","'93.94531250","'94.14062500","'94.23828125",
"'78.17382813","'83.34960938","'85.64453125","'86.08398438","'87.35351563","'86.62109375","'87.25585938","'87.45117188","'87.54882813",
"'80.41992188","'85.74218750","'88.08593750","'88.52539063","'89.84375000","'89.06250000","'89.74609375","'89.94140625","'90.03906250",
"'79.98046875","'85.30273438","'87.59765625","'88.08593750","'89.35546875","'88.62304688","'89.30664063","'89.45312500","'89.55078125",
"'80.17578125","'85.49804688","'87.79296875","'88.23242188","'89.55078125","'88.81835938","'89.45312500","'89.64843750","'89.74609375",
"'80.95703125","'86.32812500","'88.67187500","'89.11132813","'90.47851563","'89.69726563","'90.38085938","'90.57617188","'90.62500000",
"'78.41796875","'83.64257813","'85.88867188","'86.32812500","'87.64648438","'86.86523438","'87.54882813","'87.74414063","'87.84179688",
"'78.95507813","'84.17968750","'86.47460938","'86.91406250","'88.18359375","'87.45117188","'88.13476563","'88.28125000","'88.37890625",
"'79.44335938","'84.71679688","'87.01171875","'87.45117188","'88.76953125","'87.98828125","'88.67187500","'88.86718750","'88.96484375",
"'76.90429688","'81.98242188","'84.17968750","'84.61914063","'85.88867188","'85.15625000","'85.79101563","'85.98632813","'86.08398438",
"'78.66210938","'83.88671875","'86.13281250","'86.57226563","'87.89062500","'87.10937500","'87.79296875","'87.98828125","'88.03710938",
"'76.12304688","'81.15234375","'83.34960938","'83.78906250","'85.05859375","'84.32617188","'84.96093750","'85.15625000","'85.20507813",
"'76.90429688","'82.03125000","'84.22851563","'84.66796875","'85.93750000","'85.20507813","'85.83984375","'86.03515625","'86.13281250",
"'76.46484375","'81.54296875","'83.74023438","'84.17968750","'85.44921875","'84.71679688","'85.35156250","'85.49804688","'85.59570313",
"'80.22460938","'85.54687500","'87.89062500","'88.33007813","'89.64843750","'88.86718750","'89.55078125","'89.74609375","'89.84375000",
"'78.46679688","'83.69140625","'85.93750000","'86.37695313","'87.69531250","'86.91406250","'87.59765625","'87.79296875","'87.84179688",
"'77.39257813","'82.51953125","'84.76562500","'85.20507813","'86.47460938","'85.74218750","'86.37695313","'86.57226563","'86.62109375",
"'83.59375000","'89.16015625","'91.55273438","'92.04101563","'93.40820313","'92.62695313","'93.31054688","'93.50585938","'93.60351563",
