"'","'LOTE","'FECHA","'METODO","'N.DE LITROS","'VALOR","'N.DE JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR","'",
"'","'4","'03-15","'c.o/w","'3L+1,5+1+96","'225000","'","'304000","'529000","'19'904.400","'",
"'*","'5","'03.18","'desbeguradu","'","'","'11","'528000","'528000","'20'432 400","'",
"'","'10 B","'03-19","'suilda","'","'","'7","'336000","'336000","'20'768400","'",
"'","'8","'03.22","'Desbelle sulda","'","'","'21","'1080000","'1'080000","'21848400","'",
"'","'3","'03-22","'Guadara","'","'","'516wadran","'","'616.000","'22'464400","'",
"'","'10A","'03-26","'C.Q/W","'25+12","'108 560","'2, 3 11","'184000","'292560","'22' 756 960","'",
"'","'3","'04-26","'c.o/co","'6.0+/.2","'200.000","'","'440000","'640.000","'23'396960","'",
"'","'7","'04-5","'Guodaia","'","'","'7 wadres","'","'770000","'(24) 66 960","'",
"'","'11","'04-9","'plates","'","'","'11.5","'","'552000","'24' 718 960","'",
"'","'11","'04-26","'Guadana","'","'","'","'","'407.000","'25' 125 960","'",
"'","'1","'04-16","'plateo","'","'","'25,0","'","'1200.000","'26 325 960","'",
"'","'6","'04-17","'","'","'","'18,5","'888.800","'888-800","'27'214760","'",
"'I","'zufra","'05-8","'Guadaud","'","'4,5 euadras","'$ 110000","'","'495.000","'27'709760","'",
"'","'3","'05.1","'desbefucada","'","'","'15,5","'","'744.000","'28'453 760","'",
"'","'7","'05-3","'e.o/w","'5L+2,5+2","'296500","'7 cuadron $ $80000","'560.000","'856 500","'29'310260","'",
"'","'7","'05 - 10","'Guadaia","'","'","'","'","'220 000","'29'530260","'",
"'","'9","'05-10","'","'","'","'","'","'274000","'29'804260","'",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'58.78906250","'90.23437500","'91.65039063","'92.38281250","'92.62695313","'94.04296875","'92.77343750","'93.99414063","'93.89648438","'94.77539063","'58.30078125",
"'54.49218750","'83.59375000","'84.91210938","'85.59570313","'85.83984375","'87.10937500","'85.98632813","'87.06054688","'87.01171875","'87.84179688","'54.05273438",
"'56.00585938","'85.93750000","'87.30468750","'87.98828125","'88.23242188","'89.55078125","'88.37890625","'89.50195313","'89.45312500","'90.28320313","'55.56640625",
"'56.15234375","'86.18164063","'87.50000000","'88.18359375","'88.47656250","'89.79492188","'88.62304688","'89.74609375","'89.64843750","'90.52734375","'55.71289063",
"'55.95703125","'85.83984375","'87.20703125","'87.89062500","'88.13476563","'89.45312500","'88.28125000","'89.40429688","'89.35546875","'90.18554688","'55.46875000",
"'55.95703125","'85.83984375","'87.20703125","'87.89062500","'88.13476563","'89.45312500","'88.28125000","'89.40429688","'89.35546875","'90.18554688","'55.46875000",
"'56.59179688","'86.81640625","'88.23242188","'88.91601563","'89.16015625","'90.52734375","'89.30664063","'90.47851563","'90.38085938","'91.25976563","'56.15234375",
"'55.81054688","'85.59570313","'86.96289063","'87.64648438","'87.93945313","'89.25781250","'88.03710938","'89.20898438","'89.11132813","'89.94140625","'55.32226563",
"'55.22460938","'84.76562500","'86.08398438","'86.76757813","'87.06054688","'88.33007813","'87.15820313","'88.28125000","'88.23242188","'89.06250000","'54.78515625",
"'55.27343750","'84.81445313","'86.13281250","'86.81640625","'87.10937500","'88.37890625","'87.20703125","'88.33007813","'88.23242188","'89.11132813","'54.83398438",
"'55.56640625","'85.25390625","'86.62109375","'87.30468750","'87.54882813","'88.86718750","'87.69531250","'88.81835938","'88.72070313","'89.59960938","'55.12695313",
"'55.85937500","'85.69335938","'87.06054688","'87.74414063","'88.03710938","'89.30664063","'88.13476563","'89.30664063","'89.20898438","'90.03906250","'55.41992188",
"'54.88281250","'84.22851563","'85.54687500","'86.23046875","'86.47460938","'87.79296875","'86.62109375","'87.74414063","'87.64648438","'88.47656250","'54.44335938",
"'55.71289063","'85.49804688","'86.81640625","'87.50000000","'87.79296875","'89.11132813","'87.93945313","'89.06250000","'88.96484375","'89.79492188","'55.27343750",
"'55.51757813","'85.15625000","'86.52343750","'87.20703125","'87.45117188","'88.76953125","'87.59765625","'88.72070313","'88.62304688","'89.50195313","'55.02929688",
"'56.49414063","'86.71875000","'88.08593750","'88.76953125","'89.01367188","'90.38085938","'89.16015625","'90.33203125","'90.23437500","'91.11328125","'56.05468750",
"'54.54101563","'83.69140625","'85.00976563","'85.64453125","'85.93750000","'87.20703125","'86.08398438","'87.15820313","'87.06054688","'87.93945313","'54.10156250",
"'58.05664063","'89.11132813","'90.47851563","'91.21093750","'91.50390625","'92.87109375","'91.65039063","'92.82226563","'92.72460938","'93.60351563","'57.56835938",
