"'LOTE","'FECHA","'METODO","'N.DE LITROS","'VALOR","'N.DE JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR","'",
"'7","'01 - 3","'Desbejucado","'","'","'11,5","'","'517.500","'517.500","'",
"'6","'01.8","'11","'","'","'17,5","'","'787.500","'1'305.000","'",
"'soca Nogales","'01 - 11","'Guadaia","'","'","'3,0","'","'153000","'1'458000","'",
"'11","'01-15","'plate o","'","'","'20,5","'","'922500","'2'380500","'",
"'1","'01.18","'plateo","'","'","'23,5","'","'1'057.500","'3'438000","'",
"'5","'01-19","'Desbejucada","'","'","'9,0","'","'405000","'3'843000","'",
"'1","'01-19","'Guadaina","'","'contrate","'","'","'400.000","'4'243000","'",
"'11","'01 - 19","'"" "","'","'","'7.0","'","'357000","'4'600.000","'",
"'10","'02-6","'desbojuccde","'","'","'8,0","'","'384000","'4'984000","'",
"'6","'02-16","'Guadaina","'","'","'","'","'660000","'5'644 000","'",
"'8","'02-13","'debbyce Suilda","'","'","'16","'","'768000","'6'412 000","'",
"'10A","'02-15","'14","'","'","'6","'","'288000","'6'700.000","'",
"'9","'02-16","'11","'","'","'E,5.","'","'312000","'7012.000","'",
"'$7","'02-16","'C.Q/CO","'6L+2+0,8","'378000","'3,3","'audras","'264000","'7'276 000","'",
"'5","'02-26","'e.Q/w","'gl+2,4Lt,,2","'226000","'","'400.000","'626.000","'7'902.000","'",
"'8","'02.23","'Guddaua","'","'contrato .","'","'","'660.000","'8'562000","'",
"'4","'02-21","'","'","'al dia","'","'","'696000","'9'258000","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
""'91.65039063","'90.57617188","'92.43164063","'91.84570313","'94.33593750","'93.35937500","'94.38476563","'93.99414063","'94.33593750","'56.39648438",
"'83.49609375","'82.56835938","'84.22851563","'83.69140625","'85.93750000","'85.05859375","'85.98632813","'85.64453125","'85.93750000","'51.41601563",
"'87.79296875","'86.76757813","'88.57421875","'87.98828125","'90.38085938","'89.45312500","'90.42968750","'90.03906250","'90.38085938","'54.05273438",
"'87.35351563","'86.32812500","'88.13476563","'87.54882813","'89.89257813","'88.96484375","'89.94140625","'89.59960938","'89.89257813","'53.75976563",
"'86.42578125","'85.44921875","'87.20703125","'86.62109375","'88.96484375","'88.03710938","'89.01367188","'88.62304688","'88.96484375","'53.22265625",
"'86.76757813","'85.74218750","'87.50000000","'86.91406250","'89.30664063","'88.37890625","'89.30664063","'88.96484375","'89.30664063","'53.41796875",
"'85.79101563","'84.81445313","'86.57226563","'85.98632813","'88.28125000","'87.40234375","'88.33007813","'87.98828125","'88.28125000","'52.83203125",
"'87.06054688","'86.08398438","'87.84179688","'87.25585938","'89.59960938","'88.72070313","'89.64843750","'89.30664063","'89.59960938","'53.61328125",
"'86.47460938","'85.49804688","'87.25585938","'86.66992188","'89.01367188","'88.08593750","'89.06250000","'88.67187500","'89.01367188","'53.22265625",
"'87.10937500","'86.13281250","'87.89062500","'87.30468750","'89.64843750","'88.76953125","'89.69726563","'89.35546875","'89.64843750","'53.61328125",
"'86.42578125","'85.44921875","'87.20703125","'86.62109375","'88.96484375","'88.03710938","'89.01367188","'88.62304688","'88.96484375","'53.22265625",
"'85.88867188","'84.91210938","'86.62109375","'86.08398438","'88.37890625","'87.50000000","'88.42773438","'88.08593750","'88.37890625","'52.88085938",
"'86.66992188","'85.64453125","'87.40234375","'86.81640625","'89.20898438","'88.28125000","'89.25781250","'88.86718750","'89.20898438","'53.36914063",
"'85.83984375","'84.86328125","'86.62109375","'86.03515625","'88.33007813","'87.45117188","'88.37890625","'88.03710938","'88.33007813","'52.83203125",
"'87.20703125","'86.18164063","'87.98828125","'87.40234375","'89.74609375","'88.86718750","'89.79492188","'89.45312500","'89.74609375","'53.71093750",
"'87.64648438","'86.66992188","'88.42773438","'87.84179688","'90.23437500","'89.30664063","'90.28320313","'89.89257813","'90.23437500","'53.95507813",
"'85.49804688","'84.52148438","'86.27929688","'85.69335938","'88.03710938","'87.10937500","'88.03710938","'87.69531250","'88.03710938","'52.63671875",
"'89.64843750","'88.57421875","'90.42968750","'89.79492188","'92.23632813","'91.30859375","'92.28515625","'91.89453125","'92.23632813","'55.17578125",
