"'LOTE","'FECHA","'METODO","'N.DE LITROS","'VALOR","'N.DE JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'4","'09-12","'cQ/w","'4,5+1,5","'180 000","'","'304000","'484000","'60'769.060",
"'2","'09.13","'Derbejue Suelda","'","'","'14","'672000","'672000","'61'441.060",
"'11","'11-","'plateo","'x$80","'","'","'","'","'",
"'1","'11-","'11","'980","'14.175x$8","'","'contrato","'1134.000","'162 575 060",
"'9","'11-21","'Guadaua","'2,3emadran","'x$125000","'","'","'287500","'02'862560",
"'7","'11-19","'11","'3,3 ""","'","'","'","'312000","'63'174560",
"'1","'11.22","'19","'4,0 11","'","'","'","'500.000","'63'674560",
"'11","'11-28","'11","'4,0 h","'","'","'","'500.000","'04'174560",
"'8","'11-26","'11","'6,5 11","'","'","'","'812.500","'64'987060",
"'3","'11-29","'11","'5,6 ""","'","'","'","'700.000","'65'687060",
"'6","'12 - 9","'//","'","'","'5.7 exactrar","'","'71. 500","'66'399560",
"'10","'12-5","'""","'","'","'","'512500","'512.500","'66'912060",
"'1","'12-4","'c o/co","'31+1.5","'","'150000","'320000","'470.000","'67'382060",
"'7","'12-13","'Guadana","'","'125.000/cuadra","'","'","'1250.000","'68'632000",
"'11","'12.13","'C.Q/CO","'3L + 1,5","'","'150000","'320000","'470.000","'69'102060",
"'9","'12-16","'C.Q/W","'3L+1,5","'","'150000","'184000","'334000","'69'436060",
"'1","'12-17","'Guadaira","'","'","'","'","'550000","'69'986060",
"'#2 8","'12-19 12.20","'11 @.Q/CO","'10L+3","'360000","'","'-","'450000 880.000","'70'436060 71'316.060",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'84.47265625","'90.77148438","'93.31054688","'93.70117188","'94.53125000","'93.75000000","'94.53125000","'94.09179688","'94.43359375",
"'77.68554688","'83.44726563","'85.79101563","'86.13281250","'86.91406250","'86.18164063","'86.91406250","'86.47460938","'86.86523438",
"'81.15234375","'87.20703125","'89.64843750","'89.99023438","'90.82031250","'90.03906250","'90.82031250","'90.38085938","'90.72265625",
"'70.70312500","'75.97656250","'78.07617188","'78.41796875","'79.15039063","'78.46679688","'79.15039063","'78.71093750","'79.05273438",
"'78.66210938","'84.52148438","'86.91406250","'87.25585938","'88.03710938","'87.30468750","'88.03710938","'87.59765625","'87.98828125",
"'79.68750000","'85.59570313","'88.03710938","'88.37890625","'89.20898438","'88.42773438","'89.20898438","'88.72070313","'89.11132813",
"'79.63867188","'85.59570313","'87.98828125","'88.33007813","'89.16015625","'88.37890625","'89.16015625","'88.67187500","'89.06250000",
"'78.56445313","'84.37500000","'86.76757813","'87.10937500","'87.93945313","'87.15820313","'87.93945313","'87.45117188","'87.84179688",
"'78.75976563","'84.61914063","'87.01171875","'87.35351563","'88.13476563","'87.40234375","'88.13476563","'87.69531250","'88.08593750",
"'78.22265625","'84.03320313","'86.37695313","'86.76757813","'87.54882813","'86.76757813","'87.54882813","'87.10937500","'87.45117188",
"'78.41796875","'84.27734375","'86.62109375","'86.96289063","'87.79296875","'87.01171875","'87.79296875","'87.35351563","'87.69531250",
"'78.75976563","'84.61914063","'87.01171875","'87.35351563","'88.13476563","'87.40234375","'88.13476563","'87.69531250","'88.08593750",
"'78.17382813","'83.98437500","'86.32812500","'86.71875000","'87.50000000","'86.71875000","'87.50000000","'87.06054688","'87.40234375",
"'79.88281250","'85.83984375","'88.23242188","'88.62304688","'89.40429688","'88.67187500","'89.40429688","'88.96484375","'89.35546875",
"'80.02929688","'85.98632813","'88.37890625","'88.76953125","'89.55078125","'88.76953125","'89.55078125","'89.11132813","'89.45312500",
"'80.76171875","'86.76757813","'89.16015625","'89.55078125","'90.38085938","'89.59960938","'90.38085938","'89.89257813","'90.28320313",
"'80.95703125","'86.96289063","'89.40429688","'89.79492188","'90.57617188","'89.79492188","'90.57617188","'90.13671875","'90.52734375",
"'76.66015625","'82.37304688","'84.66796875","'85.00976563","'85.79101563","'85.05859375","'85.79101563","'85.35156250","'85.69335938",
"'84.03320313","'90.28320313","'92.77343750","'93.16406250","'94.04296875","'93.21289063","'94.04296875","'93.55468750","'93.94531250",
