"'LOTES","'FECHA","'PRODUCTO","'P.CARENCIA","'P.INGRESO","'N. DE LITROS","'VALOR","'JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'1-2-3","'04.8 16","'yoliam","'","'","'17","'6101788","'60,5","'2'904000","'","'",
"'4-5-6","'","'Amistar","'","'","'18","'5258962","'canecas","'","'","'18861.884",
"'7-8-9","'","'Isabion","'","'","'18","'1,200517","'x","'","'","'",
"'10-13","'","'coptra","'","'","'30","'1334279","'48000","'","'","'",
"'","'","'Sucraxil","'","'","'30","'1832938","'","'","'","'",
"'","'","'potenzol","'","'","'6","'169400","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'",
"'1.2.3","'06-11","'voliam","'","'","'18","'6'483600","'64","'3072000","'","'13217.150",
"'4-8-7","'06-18","'Amistar","'","'","'11,4","'3303150","'canecas","'","'","'",
"'13.10.9","'06-20","'poreuzol","'","'","'12,8","'358400","'","'","'","'",
"'6.5","'","'","'","'","'","'10'145150","'","'","'","'",
"'1","'","'","'","'","'","'","'","'","'","'",
"'9","'08.1","'Amistart","'Izabion","'3cancas.","'09115","'374175","'3","'162000","'536175","'",
"'7","'08-","'x1","'""","'beanicas","'1.8+3","'730350","'11","'550000","'1280 350","'",
"'8","'08-8","'b","'""","'6 11","'118+3","'730350","'","'288000","'1'183500","'(33'895,559)",
"'1.2","'08.9","'""","'""","'5 ""","'1,5+2,5","'505 000","'","'240000","'505000","'",
"'5-7","'08-20","'1","'1/","'15 ""","'4,5+7,5","'1'795000","'15","'720.000","'2'515000","'",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'38099059",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'89.25781250","'90.08789063","'93.70117188","'93.06640625","'94.04296875","'93.35937500","'94.87304688","'94.82421875","'94.28710938","'92.82226563","'94.33593750",
"'80.41992188","'81.15234375","'84.42382813","'83.83789063","'84.71679688","'84.13085938","'85.49804688","'85.44921875","'84.96093750","'83.64257813","'85.00976563",
"'84.08203125","'84.86328125","'88.23242188","'87.64648438","'88.57421875","'87.93945313","'89.35546875","'89.30664063","'88.81835938","'87.40234375","'88.86718750",
"'84.37500000","'85.15625000","'88.57421875","'87.98828125","'88.86718750","'88.23242188","'89.69726563","'89.64843750","'89.16015625","'87.74414063","'89.20898438",
"'85.30273438","'86.08398438","'89.55078125","'88.96484375","'89.84375000","'89.20898438","'90.67382813","'90.62500000","'90.13671875","'88.72070313","'90.18554688",
"'85.44921875","'86.23046875","'89.69726563","'89.06250000","'89.99023438","'89.35546875","'90.82031250","'90.77148438","'90.28320313","'88.86718750","'90.33203125",
"'85.15625000","'85.93750000","'89.35546875","'88.76953125","'89.69726563","'89.01367188","'90.47851563","'90.42968750","'89.94140625","'88.52539063","'89.99023438",
"'78.80859375","'79.49218750","'82.66601563","'82.12890625","'83.00781250","'82.37304688","'83.74023438","'83.69140625","'83.25195313","'81.93359375","'83.30078125",
"'84.61914063","'85.40039063","'88.76953125","'88.18359375","'89.11132813","'88.47656250","'89.94140625","'89.89257813","'89.40429688","'87.98828125","'89.45312500",
"'84.03320313","'84.81445313","'88.18359375","'87.59765625","'88.52539063","'87.89062500","'89.30664063","'89.25781250","'88.76953125","'87.35351563","'88.81835938",
"'85.05859375","'85.83984375","'89.25781250","'88.67187500","'89.59960938","'88.91601563","'90.38085938","'90.33203125","'89.84375000","'88.42773438","'89.89257813",
"'84.81445313","'85.59570313","'89.01367188","'88.42773438","'89.35546875","'88.72070313","'90.18554688","'90.13671875","'89.59960938","'88.18359375","'89.64843750",
"'75.83007813","'76.51367188","'79.54101563","'79.05273438","'79.83398438","'79.29687500","'80.56640625","'80.51757813","'80.07812500","'78.80859375","'80.12695313",
"'83.88671875","'84.66796875","'88.03710938","'87.45117188","'88.37890625","'87.74414063","'89.16015625","'89.11132813","'88.62304688","'87.25585938","'88.67187500",
"'84.91210938","'85.69335938","'89.11132813","'88.52539063","'89.45312500","'88.81835938","'90.28320313","'90.23437500","'89.69726563","'88.28125000","'89.74609375",
"'86.37695313","'87.15820313","'90.67382813","'90.03906250","'90.96679688","'90.33203125","'91.79687500","'91.74804688","'91.25976563","'89.84375000","'91.30859375",
"'83.83789063","'84.61914063","'87.98828125","'87.40234375","'88.33007813","'87.69531250","'89.11132813","'89.06250000","'88.57421875","'87.20703125","'88.62304688",
"'86.86523438","'87.69531250","'91.16210938","'90.57617188","'91.50390625","'90.82031250","'92.33398438","'92.28515625","'91.79687500","'90.33203125","'91.84570313",
"'71.58203125","'72.26562500","'75.14648438","'74.65820313","'75.39062500","'74.85351563","'76.07421875","'76.07421875","'75.63476563","'74.46289063","'75.68359375",
"'85.15625000","'85.93750000","'89.35546875","'88.76953125","'89.69726563","'89.01367188","'90.47851563","'90.42968750","'89.94140625","'88.52539063","'89.99023438",
"'82.37304688","'83.10546875","'86.42578125","'85.83984375","'86.71875000","'86.08398438","'87.50000000","'87.50000000","'87.01171875","'85.64453125","'87.01171875",
"'84.91210938","'85.69335938","'89.11132813","'88.52539063","'89.45312500","'88.81835938","'90.28320313","'90.23437500","'89.69726563","'88.28125000","'89.74609375",
"'83.78906250","'84.52148438","'87.89062500","'87.30468750","'88.23242188","'87.59765625","'89.01367188","'88.96484375","'88.47656250","'87.10937500","'88.52539063",
