"'fecha","'kilos café","'N.jornales","'valor.jor","'A. kilos","'A.valor","'A.jor","'bultos","'kilos","'A.bultos","'A.kilos",
"'06-7","'2143","'45","'1928700","'112898","'101451900","'1741","'11","'-","'571","'374",
"'06-14","'1403","'40","'1403000","'114301","'102,854900","'1781","'7","'8","'578","'382",
"'06-21","'888","'35","'1'065 600","'115189","'103 920500","'1816","'4","'2","'582","'384",
"'06 - 28","'694","'32","'832800","'115883","'104'753600","'1848","'3","'20","'585","'40X",
"'07-5","'592","'26","'710400","'116475","'105 463 700","'1874","'3","'-","'588","'404",
"'07.12","'497","'20","'596400","'116972","'106 060 100","'1894","'2","'20","'590","'424",
"'07-19","'343","'24","'715000","'117315","'106 135700","'1918","'1","'28","'591","'452",
"'07-26","'701","'24","'1193200","'118016","'107 328900","'1942","'3","'24","'594","'476",
"'08.2","'1274","'36","'2'024800","'119290","'109 353 700","'1978","'6","'20","'600","'496",
"'08.9","'2491","'57","'3'318000","'121 781","'112'671.700","'2035","'12","'32","'612","'528",
"'08-16","'3197","'87","'4'538000","'124978","'117209.700","'2122","'16","'16","'628","'544",
"'08-23","'3288","'57","'$4'130.000","'128266","'121 339 700","'2179","'16","'36","'644","'580",
"'08.30","'2189","'54","'2'978000","'130455","'124 317 700","'2233","'11","'8","'655","'588",
"'09-6","'2272","'59","'3126000","'132727","'127'443 700","'2292","'11","'28","'666","'616",
"'09.14","'4062","'78","'4'062 000","'136789","'131505.700","'2370","'21","'16","'687","'632",
"'09-20","'7491","'118","'8263000","'144280","'139768700","'2488","'38","'24","'725","'656",
"'09-27","'16036","'197","'17676600","'160316","'157445300","'2685","'82","'24","'807","'680",
"'10-5","'24390","'244","'26'829 000","'184706","'184274300","'2929","'125","'28","'932","'708",
"'10-11","'28802","'284","'31682200","'213508","'215956500","'3213","'148","'20","'1080","'728",
"'10 - 18","'24445","'270","'20'777300","'237953","'242 733800","'3483","'126","'-","'1206","'728",
"'10-25","'15229","'146","'16431800","'253/82","'259105600","'3629","'78","'20","'1284","'748",
"'TOTAL","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'82.76367188","'90.57617188","'92.96875000","'94.97070313","'91.60156250","'95.70312500","'92.77343750","'94.72656250","'94.18945313","'94.09179688","'91.94335938",
"'76.36718750","'83.59375000","'85.79101563","'87.64648438","'84.52148438","'88.28125000","'85.59570313","'87.40234375","'86.91406250","'86.81640625","'84.81445313",
"'77.44140625","'84.76562500","'86.96289063","'88.86718750","'85.69335938","'89.55078125","'86.76757813","'88.62304688","'88.13476563","'88.03710938","'86.03515625",
"'78.56445313","'86.03515625","'88.23242188","'90.18554688","'86.96289063","'90.86914063","'88.08593750","'89.94140625","'89.45312500","'89.35546875","'87.30468750",
"'78.66210938","'86.08398438","'88.33007813","'90.28320313","'87.06054688","'90.96679688","'88.18359375","'90.03906250","'89.55078125","'89.45312500","'87.40234375",
