"'fecha","'kilos café","'N.jornales","'valor.jor","'A. kilos","'A.valor","'A.jor","'bultos","'kilos","'A.bultos","'A.kilos",
"'01-5","'3380","'58","'3402000","'3380","'3'402.000","'58","'17","'16","'17","'16",
"'01-12","'5035","'117","'4531500","'8415","'7'933.500","'175","'25","'36","'42","'52",
"'01-19","'4003","'69","'3'602700","'12418","'11'536200","'244","'20","'24","'62","'76",
"'02-9","'7058","'132","'6'352200","'19476","'17'888400","'376","'36","'12.","'98","'88",
"'02-16","'4963","'81","'4466700","'24439","'22'355100","'457","'25","'20","'123","'108",
"'02-23","'6364","'103","'5'727,600","'30803","'28'082700","'560","'32","'32","'155","'140",
"'03-1","'7326","'114","'6'593400","'38129","'34'676100","'674","'37","'28","'192","'168",
"'03-8","'6478","'99","'5'830200","'44607","'40'506.300","'773","'33","'6","'225","'174",
"'03-15","'4110","'81","'3699000","'48714","'44 205 300","'854","'21","'4","'246","'178",
"'03-22","'3129","'56","'2,716.100","'51843","'46'921 400","'910","'16","'4","'262","'182",
"'03-29","'3470","'52","'3123000","'55313","'50'044400","'962","'17","'32","'279","'214",
"'04-5","'11536","'142","'10382400","'66.849","'60 426 800","'1104","'59","'16","'338","'230",
"'04-12","'12735","'146","'11'431500","'79,584","'71858300","'1250","'65","'24","'403","'254",
"'04-19","'7632","'88","'6'488800","'87216","'78'347100","'1338","'39","'12","'442","'266",
"'04-26","'9072","'110","'8155800","'96288","'86 502900","'1448","'46","'28","'488","'294",
"'05-3","'5844","'91","'5259600","'102132","'91.762500","'1539","'30","'4","'518","'298",
"'05-10","'2438","'48","'2 194200","'104570","'93956700","'1577","'12","'8","'530","'306",
"'05-17","'1744","'39","'1'569.600","'106314","'95'526300","'1616","'8","'36","'538","'342",
"'05-24","'1976","'37","'1'778400","'108290","'97304700","'1653","'10","'4","'548","'3 46",
"'05.31","'2465","'43","'2'218500","'110.755","'99'523200","'1696","'12","'28","'560","'374",
"'","'","'","'","'","'","'","'","'","'","'",
"'TOTAL","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'94.97070313","'91.69921875","'93.50585938","'95.45898438","'92.67578125","'96.09375000","'92.18750000","'95.06835938","'94.09179688","'93.26171875","'92.67578125",
"'89.74609375","'86.66992188","'88.37890625","'90.18554688","'87.54882813","'90.82031250","'87.10937500","'89.84375000","'88.91601563","'88.13476563","'87.54882813",
"'90.52734375","'87.40234375","'89.11132813","'90.96679688","'88.28125000","'91.55273438","'87.84179688","'90.57617188","'89.69726563","'88.86718750","'88.28125000",
"'90.72265625","'87.59765625","'89.35546875","'91.21093750","'88.52539063","'91.79687500","'88.08593750","'90.82031250","'89.89257813","'89.06250000","'88.52539063",
"'90.82031250","'87.69531250","'89.45312500","'91.30859375","'88.62304688","'91.89453125","'88.18359375","'90.91796875","'89.99023438","'89.16015625","'88.62304688",
"'91.16210938","'88.03710938","'89.79492188","'91.60156250","'88.96484375","'92.23632813","'88.47656250","'91.25976563","'90.33203125","'89.50195313","'88.96484375",
"'91.50390625","'88.33007813","'90.08789063","'91.94335938","'89.25781250","'92.57812500","'88.81835938","'91.60156250","'90.67382813","'89.84375000","'89.25781250",
"'90.91796875","'87.79296875","'89.55078125","'91.40625000","'88.72070313","'91.99218750","'88.23242188","'91.01562500","'90.08789063","'89.25781250","'88.72070313",
"'90.52734375","'87.40234375","'89.11132813","'90.96679688","'88.28125000","'91.55273438","'87.84179688","'90.57617188","'89.69726563","'88.86718750","'88.28125000",
"'89.59960938","'86.52343750","'88.23242188","'90.08789063","'87.45117188","'90.67382813","'86.96289063","'89.69726563","'88.76953125","'87.98828125","'87.45117188",
"'90.33203125","'87.20703125","'88.96484375","'90.77148438","'88.13476563","'91.35742188","'87.64648438","'90.42968750","'89.50195313","'88.67187500","'88.13476563",
"'90.52734375","'87.40234375","'89.11132813","'90.96679688","'88.28125000","'91.55273438","'87.84179688","'90.57617188","'89.69726563","'88.86718750","'88.28125000",
"'90.08789063","'86.96289063","'88.72070313","'90.52734375","'87.89062500","'91.11328125","'87.45117188","'90.18554688","'89.25781250","'88.42773438","'87.89062500",
"'89.79492188","'86.71875000","'88.42773438","'90.23437500","'87.59765625","'90.86914063","'87.15820313","'89.89257813","'88.96484375","'88.18359375","'87.59765625",
"'90.67382813","'87.54882813","'89.30664063","'91.16210938","'88.47656250","'91.74804688","'88.03710938","'90.77148438","'89.84375000","'89.06250000","'88.47656250",
"'89.45312500","'86.37695313","'88.08593750","'89.94140625","'87.30468750","'90.52734375","'86.81640625","'89.55078125","'88.67187500","'87.84179688","'87.30468750",
"'88.81835938","'85.74218750","'87.45117188","'89.25781250","'86.66992188","'89.84375000","'86.18164063","'88.91601563","'87.98828125","'87.20703125","'86.66992188",
"'90.38085938","'87.25585938","'89.01367188","'90.82031250","'88.18359375","'91.40625000","'87.69531250","'90.47851563","'89.55078125","'88.72070313","'88.18359375",
"'89.89257813","'86.81640625","'88.52539063","'90.33203125","'87.69531250","'90.91796875","'87.25585938","'89.99023438","'89.06250000","'88.23242188","'87.69531250",
"'90.42968750","'87.30468750","'89.01367188","'90.86914063","'88.23242188","'91.45507813","'87.74414063","'90.47851563","'89.59960938","'88.76953125","'88.23242188",
"'90.08789063","'86.96289063","'88.72070313","'90.52734375","'87.89062500","'91.11328125","'87.45117188","'90.18554688","'89.25781250","'88.42773438","'87.89062500",
"'87.15820313","'84.17968750","'85.83984375","'87.59765625","'85.05859375","'88.18359375","'84.61914063","'87.25585938","'86.37695313","'85.59570313","'85.05859375",
"'93.79882813","'90.57617188","'92.38281250","'94.28710938","'91.50390625","'94.87304688","'91.06445313","'93.89648438","'92.91992188","'92.08984375","'91.50390625",
