"'LOTE","'FECHA","'METODO","'N.DE LITROS","'VALOR","'N.DE JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'Tanques","'06 - 11","'Guadaua","'","'","'","'","'330.000","'7'966.000",
"'Dosbigue","'05-1","'varios","'","'","'55.","'","'2'640 000","'10'606.000",
"'varior","'06-10","'plateos","'","'","'80","'","'3'840000","'14 446.000",
"'ED01)","'06-19","'Derbey. Guadaria","'","'","'","'","'550000","'14'996.000",
"'Angrelling","'06 - 24","'11","'","'","'","'","'330000","'15'326.000",
"'colezaria","'06-20","'C.Q/W","'10,5+5,5","'403 000","'14","'686000","'1089000","'16'415.000",
"'potserop Corona","'07.12","'C.Q/W","'11+4,0","'394000","'15","'735000","'1'050000","'17'465000",
"'EDO","'07-25","'C.Q/CO","'7,5L+2,5","'265000","'10","'490000","'755000","'18'220000",
"'","'","'Graddua","'","'","'7,5 wad","'100","'825000","'19'045.000",
"'Alliat","'08-2","'C.Q/CO","'61+2","'212000","'7,0","'343000","'555.000","'19'600.000",
"'palma","'08.1","'Guadaria","'","'","'","'","'330000","'19'930000",
"'Taugars","'08.15","'"" 11","'","'","'","'","'330000","'20'260.000",
"'variedad","'08 - 19","'C.Q/CO","'13,5+4,5","'477000","'18","'822 000","'1359.000","'21'619.000",
"'eobyour","'10-20","'Guadaua","'","'","'","'","'605000","'22'224 000",
"'Al lla","'10-28","'11","'","'","'","'","'330000","'22'554000",
"'EDO'S","'10.26","'11","'","'","'","'","'550000","'23 104.000",
"'Potserup","'11-10","'""","'","'","'","'","'110.000","'23' 214000",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'92.77343750","'92.33398438","'93.31054688","'93.89648438","'94.77539063","'94.09179688","'94.62890625","'94.09179688","'94.72656250",
"'87.93945313","'87.50000000","'88.42773438","'88.96484375","'89.84375000","'89.20898438","'89.69726563","'89.20898438","'89.79492188",
"'89.01367188","'88.57421875","'89.50195313","'90.03906250","'90.91796875","'90.28320313","'90.77148438","'90.28320313","'90.86914063",
"'89.11132813","'88.72070313","'89.64843750","'90.18554688","'91.06445313","'90.42968750","'90.91796875","'90.42968750","'91.01562500",
"'89.11132813","'88.72070313","'89.64843750","'90.18554688","'91.06445313","'90.42968750","'90.91796875","'90.42968750","'91.01562500",
"'87.40234375","'87.01171875","'87.93945313","'88.47656250","'89.30664063","'88.67187500","'89.20898438","'88.67187500","'89.25781250",
"'87.98828125","'87.54882813","'88.47656250","'89.01367188","'89.89257813","'89.25781250","'89.74609375","'89.25781250","'89.84375000",
"'88.23242188","'87.79296875","'88.72070313","'89.25781250","'90.13671875","'89.50195313","'89.99023438","'89.50195313","'90.08789063",
"'85.74218750","'85.30273438","'86.23046875","'86.71875000","'87.59765625","'86.96289063","'87.45117188","'86.96289063","'87.54882813",
"'87.20703125","'86.76757813","'87.69531250","'88.23242188","'89.11132813","'88.47656250","'88.96484375","'88.47656250","'89.06250000",
"'86.62109375","'86.23046875","'87.15820313","'87.69531250","'88.52539063","'87.89062500","'88.37890625","'87.89062500","'88.47656250",
"'86.76757813","'86.37695313","'87.25585938","'87.79296875","'88.67187500","'88.03710938","'88.52539063","'88.03710938","'88.62304688",
"'84.47265625","'84.08203125","'84.96093750","'85.49804688","'86.32812500","'85.69335938","'86.18164063","'85.69335938","'86.27929688",
"'85.88867188","'85.49804688","'86.37695313","'86.91406250","'87.79296875","'87.15820313","'87.64648438","'87.15820313","'87.74414063",
"'84.86328125","'84.47265625","'85.35156250","'85.83984375","'86.66992188","'86.08398438","'86.57226563","'86.08398438","'86.62109375",
"'84.81445313","'84.42382813","'85.30273438","'85.79101563","'86.62109375","'86.03515625","'86.52343750","'86.03515625","'86.62109375",
"'83.54492188","'83.15429688","'84.03320313","'84.57031250","'85.35156250","'84.76562500","'85.25390625","'84.76562500","'85.30273438",
"'86.03515625","'85.64453125","'86.52343750","'87.06054688","'87.89062500","'87.30468750","'87.79296875","'87.30468750","'87.89062500",
