"'LOTE","'FECHA","'METODO","'N.DE LITROS","'VALOR","'N.DE JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'","'","'Guadana","'","'","'","'","'825000","'24039.000",
"'Rz Tanques","'12-1","'""","'","'","'","'","'330.000","'24'369 000",
"'cologuous","'12-11","'plateo-","'pabonada","'","'15","'735000","'735000","'25'104.000",
"'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'91.65039063","'91.89453125","'93.11523438","'93.79882813","'95.31250000","'93.70117188","'95.21484375","'95.01953125","'95.55664063",
"'86.37695313","'86.62109375","'87.74414063","'88.42773438","'89.84375000","'88.33007813","'89.74609375","'89.55078125","'90.03906250",
"'86.76757813","'86.96289063","'88.13476563","'88.81835938","'90.18554688","'88.72070313","'90.13671875","'89.94140625","'90.42968750",
"'88.57421875","'88.81835938","'89.94140625","'90.67382813","'92.08984375","'90.57617188","'91.99218750","'91.79687500","'92.33398438",
"'88.28125000","'88.52539063","'89.69726563","'90.38085938","'91.79687500","'90.28320313","'91.69921875","'91.55273438","'92.04101563",
"'87.69531250","'87.93945313","'89.06250000","'89.79492188","'91.21093750","'89.69726563","'91.11328125","'90.91796875","'91.45507813",
"'86.42578125","'86.66992188","'87.79296875","'88.47656250","'89.89257813","'88.37890625","'89.79492188","'89.59960938","'90.08789063",
"'86.32812500","'86.57226563","'87.69531250","'88.37890625","'89.79492188","'88.28125000","'89.69726563","'89.50195313","'89.99023438",
"'85.83984375","'86.08398438","'87.20703125","'87.89062500","'89.25781250","'87.79296875","'89.16015625","'89.01367188","'89.50195313",
"'86.23046875","'86.47460938","'87.59765625","'88.28125000","'89.69726563","'88.18359375","'89.59960938","'89.40429688","'89.89257813",
"'85.25390625","'85.49804688","'86.57226563","'87.25585938","'88.67187500","'87.15820313","'88.57421875","'88.37890625","'88.86718750",
"'85.25390625","'85.49804688","'86.57226563","'87.25585938","'88.67187500","'87.15820313","'88.57421875","'88.37890625","'88.86718750",
"'86.13281250","'86.32812500","'87.45117188","'88.13476563","'89.55078125","'88.03710938","'89.45312500","'89.25781250","'89.79492188",
"'86.32812500","'86.57226563","'87.69531250","'88.37890625","'89.79492188","'88.28125000","'89.69726563","'89.50195313","'89.99023438",
"'84.66796875","'84.86328125","'85.98632813","'86.66992188","'88.03710938","'86.57226563","'87.93945313","'87.79296875","'88.28125000",
"'84.17968750","'84.37500000","'85.49804688","'86.13281250","'87.50000000","'86.03515625","'87.45117188","'87.25585938","'87.74414063",
"'86.76757813","'86.96289063","'88.13476563","'88.81835938","'90.18554688","'88.72070313","'90.13671875","'89.94140625","'90.42968750",
"'79.63867188","'79.83398438","'80.85937500","'81.49414063","'82.81250000","'81.39648438","'82.71484375","'82.51953125","'83.00781250",
