"'LOTE","'FECHA","'METODO","'N.DE LITROS","'VALOR","'N.DE JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'palma","'01 - 4","'Guadaua","'","'","'","'","'300.000","'300.000",
"'","'","'is","'","'","'","'","'$50.000","'",
"'cologuro","'02 - 16","'""","'","'","'","'","'605.000","'1205.000",
"'corona","'01-12","'c. o/w","'L+1,5","'135000","'6","'276000","'411000","'1'616.000",
"'varior","'03.8","'Denbejurada","'","'","'20","'","'960.000","'2'576000",
"'Tanques goka","'03 - 7","'Guadaira","'","'contrato-","'110.000","'euadra.","'330000","'2'906.000",
"'potenon","'03.8","'11","'","'","'","'","'110.000","'3.0,6000",
"'Varudad","'03.6","'11","'","'","'","'","'825000","'3'841.000",
"'EDO","'03 .","'11","'","'","'","'","'550.000","'4391000",
"'Taugus","'03-25","'""","'","'","'","'","'330.000","'4'721.000",
"'A/Mal","'04-22","'""","'","'","'","'","'330000","'5'051.000",
"'variodad","'05-11","'11","'","'7,5 euadras","'x110.000","'","'825000","'5'876.000",
"'","'05-24","'11","'","'6,0 euadras","'x110000","'","'660.000","'6'536.000",
"'potruro","'05-26","'""","'","'","'","'","'110000","'6'646. 000",
"'palma","'05-28","'""","'","'","'","'","'330000","'6'976.000",
"'Corona","'06 - 3","'11","'","'","'","'","'330000","'7'306.000",
"'Tangeer","'06-6","'11","'","'","'","'","'330000","'7'636.000",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'91.35742188","'90.67382813","'92.28515625","'91.99218750","'93.35937500","'91.69921875","'93.31054688","'93.45703125","'93.84765625",
"'80.46875000","'79.88281250","'81.29882813","'81.05468750","'82.27539063","'80.81054688","'82.22656250","'82.37304688","'82.66601563",
"'78.56445313","'77.97851563","'79.34570313","'79.10156250","'80.27343750","'78.85742188","'80.27343750","'80.37109375","'80.71289063",
"'84.08203125","'83.44726563","'84.96093750","'84.66796875","'85.93750000","'84.42382813","'85.88867188","'86.03515625","'86.37695313",
"'86.86523438","'86.23046875","'87.79296875","'87.50000000","'88.81835938","'87.25585938","'88.76953125","'88.91601563","'89.25781250",
"'85.74218750","'85.10742188","'86.62109375","'86.32812500","'87.64648438","'86.08398438","'87.59765625","'87.74414063","'88.08593750",
"'88.81835938","'88.18359375","'89.74609375","'89.45312500","'90.77148438","'89.16015625","'90.72265625","'90.86914063","'91.25976563",
"'85.88867188","'85.30273438","'86.81640625","'86.52343750","'87.84179688","'86.27929688","'87.79296875","'87.89062500","'88.28125000",
"'85.98632813","'85.40039063","'86.91406250","'86.62109375","'87.93945313","'86.37695313","'87.89062500","'87.98828125","'88.37890625",
"'87.20703125","'86.57226563","'88.08593750","'87.84179688","'89.16015625","'87.54882813","'89.11132813","'89.20898438","'89.59960938",
"'88.18359375","'87.54882813","'89.06250000","'88.81835938","'90.13671875","'88.52539063","'90.08789063","'90.23437500","'90.57617188",
"'87.64648438","'87.01171875","'88.57421875","'88.28125000","'89.59960938","'88.03710938","'89.55078125","'89.69726563","'90.03906250",
"'88.03710938","'87.40234375","'88.91601563","'88.67187500","'89.99023438","'88.37890625","'89.94140625","'90.08789063","'90.42968750",
"'88.28125000","'87.64648438","'89.20898438","'88.96484375","'90.28320313","'88.67187500","'90.23437500","'90.38085938","'90.72265625",
"'87.54882813","'86.91406250","'88.47656250","'88.18359375","'89.50195313","'87.93945313","'89.45312500","'89.59960938","'89.99023438",
"'86.66992188","'86.08398438","'87.59765625","'87.30468750","'88.62304688","'87.06054688","'88.57421875","'88.72070313","'89.06250000",
"'88.23242188","'87.54882813","'89.11132813","'88.86718750","'90.18554688","'88.57421875","'90.13671875","'90.28320313","'90.62500000",
"'91.30859375","'90.62500000","'92.23632813","'91.94335938","'93.31054688","'91.65039063","'93.26171875","'93.40820313","'93.79882813",
