"'LOTES","'FECHA","'PRODUCTO","'P.CARENCIA","'P.INGRESO","'N. DE LITROS","'VALOR","'JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'Varios","'04.1","'voliam E","'04-15","'04-$7","'7.0 L","'2 730000","'","'","'","'",
"'","'","'Apristar z","'04-15","'04-$7","'10 L","'2897.500","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'","'33,5","'cancers (","'23,5 +10","'(Sexess)","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'10192235","'",
"'","'","'otres If","'Isabion +","'zintrace","'","'teastia","'","'","'","'",
"'","'","'","'Hand declare","'= 1'60","'8000","'","'","'","'","'",
"'","'","'","'&","'48000","'scanca","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'59000","'","'",
"'Cology","'06.19","'Antistart","'porausol","'","'0,75 to","'3: 235000","'4""","'236000","'471000","'",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'08.39","'American","'","'","'6c","'$740.000","'19,5","'936000","'2732000","'",
"'","'","'personal","'","'","'2L","'56000","'cancer","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'10","'","'","'","'","'","'","'","'","'",
"'","'07-12","'roliam","'","'","'7.5L","'2'75000","'26","'1248000","'","'",
"'","'","'American","'","'","'7,84","'2'262000","'Cancer","'","'7246859","'",
"'","'","'Isabian","'","'","'134","'902850","'","'","'","'",
"'","'","'Agencies","'","'","'2,64","'104000","'","'","'","'20642085",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'5998530","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'93.26171875","'89.59960938","'94.04296875","'94.43359375","'94.58007813","'94.18945313","'95.21484375","'95.06835938","'94.09179688","'93.40820313","'94.72656250",
"'87.01171875","'83.59375000","'87.74414063","'88.13476563","'88.23242188","'87.89062500","'88.81835938","'88.72070313","'87.79296875","'87.15820313","'88.37890625",
"'88.28125000","'84.86328125","'89.06250000","'89.45312500","'89.55078125","'89.20898438","'90.18554688","'90.03906250","'89.11132813","'88.42773438","'89.69726563",
"'84.76562500","'81.44531250","'85.49804688","'85.88867188","'85.98632813","'85.64453125","'86.57226563","'86.42578125","'85.54687500","'84.91210938","'86.13281250",
"'84.66796875","'81.34765625","'85.44921875","'85.79101563","'85.88867188","'85.54687500","'86.47460938","'86.32812500","'85.44921875","'84.81445313","'86.03515625",
"'88.28125000","'84.86328125","'89.06250000","'89.45312500","'89.55078125","'89.20898438","'90.18554688","'90.03906250","'89.11132813","'88.42773438","'89.69726563",
"'88.28125000","'84.86328125","'89.06250000","'89.45312500","'89.55078125","'89.20898438","'90.18554688","'90.03906250","'89.11132813","'88.42773438","'89.69726563",
"'88.62304688","'85.15625000","'89.40429688","'89.74609375","'89.89257813","'89.55078125","'90.47851563","'90.33203125","'89.45312500","'88.76953125","'90.03906250",
"'84.52148438","'81.20117188","'85.25390625","'85.59570313","'85.74218750","'85.35156250","'86.27929688","'86.13281250","'85.30273438","'84.61914063","'85.83984375",
"'85.10742188","'81.78710938","'85.83984375","'86.18164063","'86.32812500","'85.98632813","'86.91406250","'86.76757813","'85.88867188","'85.25390625","'86.47460938",
"'87.98828125","'84.52148438","'88.72070313","'89.11132813","'89.25781250","'88.86718750","'89.84375000","'89.69726563","'88.76953125","'88.08593750","'89.35546875",
"'84.32617188","'81.00585938","'85.05859375","'85.40039063","'85.54687500","'85.20507813","'86.08398438","'85.98632813","'85.10742188","'84.42382813","'85.64453125",
"'88.13476563","'84.66796875","'88.86718750","'89.25781250","'89.40429688","'89.01367188","'89.99023438","'89.84375000","'88.91601563","'88.23242188","'89.50195313",
"'86.91406250","'83.49609375","'87.64648438","'88.03710938","'88.18359375","'87.79296875","'88.72070313","'88.62304688","'87.69531250","'87.06054688","'88.28125000",
"'89.74609375","'86.23046875","'90.52734375","'90.86914063","'91.01562500","'90.67382813","'91.65039063","'91.50390625","'90.57617188","'89.89257813","'91.16210938",
"'84.91210938","'81.59179688","'85.64453125","'86.03515625","'86.13281250","'85.79101563","'86.71875000","'86.57226563","'85.69335938","'85.05859375","'86.27929688",
"'89.35546875","'85.83984375","'90.13671875","'90.52734375","'90.67382813","'90.28320313","'91.25976563","'91.11328125","'90.18554688","'89.50195313","'90.77148438",
"'87.15820313","'83.74023438","'87.89062500","'88.28125000","'88.37890625","'88.03710938","'88.96484375","'88.86718750","'87.93945313","'87.25585938","'88.52539063",
"'87.98828125","'84.52148438","'88.72070313","'89.11132813","'89.25781250","'88.86718750","'89.84375000","'89.69726563","'88.76953125","'88.08593750","'89.35546875",
"'88.03710938","'84.57031250","'88.76953125","'89.16015625","'89.30664063","'88.91601563","'89.89257813","'89.74609375","'88.81835938","'88.13476563","'89.40429688",
"'87.35351563","'83.93554688","'88.13476563","'88.47656250","'88.62304688","'88.28125000","'89.20898438","'89.06250000","'88.18359375","'87.50000000","'88.76953125",
"'88.67187500","'85.20507813","'89.45312500","'89.79492188","'89.94140625","'89.59960938","'90.52734375","'90.38085938","'89.50195313","'88.81835938","'90.08789063",
"'88.91601563","'85.40039063","'89.69726563","'90.03906250","'90.18554688","'89.79492188","'90.77148438","'90.62500000","'89.74609375","'89.01367188","'90.33203125",
