"'fecha","'kilos cafe","'N.jornales","'valor.jor","'A. kilos","'A.valor","'A.jor","'bultos","'kilos","'A.buitos","'A.kilos",
"'01-","'359","'11","'359000","'359","'359000","'11","'1","'29","'1","'29",
"'01-12","'422","'10","'422000","'781","'781000","'21","'2","'-","'3","'29",
"'01-19","'387","'10","'387000","'1168","'1408000","'31","'2","'-","'5","'29",
"'02-9","'516","'16","'510000","'1684","'1'684000","'47","'2","'23","'2","'52",
"'02-16","'464","'10","'464000","'2148","'2'1 48000","'57","'2","'12","'9","'04",
"'02.23","'1020","'20","'1'020000","'3168","'3'168000","'77","'5","'-","'14","'64",
"'03.1","'434","'15","'434000","'3602","'3'602000","'92","'2","'6","'16","'70",
"'03.8","'979","'19","'979000","'4581","'4'581000","'111","'4","'35","'20","'105.",
"'03-15","'806","'20","'806000","'5387","'5'387000","'131","'4","'-","'24","'105",
"'03-22","'751","'15","'751000","'6138","'61/38000","'146","'3","'35","'27","'140",
"'03.29","'1278","'18","'1278000","'7416","'7'416000","'104","'6","'15","'33","'155",
"'04.5","'3651","'41","'3'651000","'11007","'11'067000","'205","'18","'9","'51","'104",
"'04-12","'4091","'53","'4'091000","'15158","'15'158000","'258","'20","'17","'71","'181",
"'04-19","'2199","'44","'2'199000","'17357","'17'357000","'302","'11","'-","'82","'181",
"'04-26","'707","'14","'707000","'18064","'18'064000","'316","'3","'21","'85","'202",
"'05-","'740","'16","'740000","'18804","'18'804 000","'332","'3","'14","'88","'216",
"'05-10","'681","'15","'681000","'19485","'19'485000","'1013","'3","'28","'91","'244 244",
"'05-17","'395","'10","'395000","'19880","'19'880000","'1023","'2","'- 11","'93","'255",
"'05.22","'356","'10","'356000","'20236","'20'236000","'1033","'1","'","'94","'255",
"'06.28","'181","'9","'217200","'20417","'20'453200","'1042","'1","'- 25","'95 96","'280",
"'","'324","'10","'388800","'20741","'20'842000","'1052","'1","'","'","'",
"'07-19 TOTAL","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'87.10937500","'85.83984375","'86.23046875","'87.40234375","'85.30273438","'88.03710938","'84.52148438","'86.03515625","'85.83984375","'85.83984375","'85.15625000",
"'90.77148438","'89.45312500","'89.84375000","'91.11328125","'88.91601563","'91.79687500","'88.08593750","'89.69726563","'89.45312500","'89.45312500","'88.76953125",
"'91.30859375","'89.94140625","'90.38085938","'91.60156250","'89.40429688","'92.33398438","'88.57421875","'90.18554688","'89.94140625","'89.94140625","'89.25781250",
"'92.28515625","'90.91796875","'91.35742188","'92.62695313","'90.38085938","'93.31054688","'89.55078125","'91.16210938","'90.91796875","'90.91796875","'90.23437500",
"'92.28515625","'90.91796875","'91.35742188","'92.62695313","'90.38085938","'93.31054688","'89.55078125","'91.16210938","'90.91796875","'90.91796875","'90.23437500",
"'92.38281250","'91.01562500","'91.45507813","'92.72460938","'90.47851563","'93.40820313","'89.64843750","'91.25976563","'91.01562500","'91.01562500","'90.33203125",
