"'fecha","'kilos café","'N.jornales","'valor.jor","'A. kilos","'A.valor","'A.jor","'bultos","'kilos","'A.bultos","'A.kilos",
"'07-26","'590","'15","'708000","'21331","'21'550000","'1007","'3","'-","'99","'280",
"'08-2","'753","'15","'9.03600","'22084","'22'453.600","'1082","'3","'32","'102","'312",
"'08.9","'954","'20","'954000","'23038","'23'407.600","'1102","'4","'31","'106","'343",
"'08 - 16","'866","'25","'866000","'23904","'24'273600","'1127","'4","'13","'110","'356",
"'08-23","'927","'25","'927000","'24831","'25'200.600","'1152","'4","'25","'114","'381",
"'08.30","'1142","'25","'1'142000","'25973","'26'342.600","'1177","'5","'28","'119","'409",
"'09-6","'2426","'37","'2'426000","'28399","'28 768.600","'1214","'12","'4","'131","'4/3",
"'09 - 13","'6420","'65","'6'420000","'34819","'35 188600","'1279","'32","'20","'163","'433",
"'09-20","'5208","'50","'5728800","'40027","'40917400","'1329","'26","'17","'189","'450",
"'09-27","'9005","'87","'9'905500","'49032","'50 822 900","'1416","'45","'27","'234","'477",
"'10 - 4","'11558","'118","'12'713800","'60590","'52036700","'1534","'58","'25","'292","'502",
"'10-10","'7389","'76","'8127900","'67979","'60/144.600","'1610","'37","'19","'329","'52/",
"'10-18","'3973","'43","'4370300","'71952","'64534.900","'1653","'20","'-","'349","'52/",
"'10 - 25","'2415","'37","'2656500","'74367","'67,191.400","'1690","'12","'10","'361","'531",
"'11-1","'2656","'29","'1'821 600","'76023","'69013.000","'1719","'8","'16","'369","'547",
"'11-8","'2014","'35","'2'215400","'78037","'71228400","'1754","'10","'8","'379","'555",
"'11-15","'2001","'35","'2'201.100","'80038","'73429500","'1789","'10","'6","'389","'561",
"'11 - 22","'773","'14","'860 300","'80811","'74289.800","'1803","'4","'0","'393","'561",
"'11-29","'644","'15","'708400","'81455","'74998200","'1818","'3","'9","'396","'570",
"'12-6","'452","'10","'497200","'81907","'75'495.400","'1828","'2","'10","'398","'580",
"'12 - 13","'177","'4","'194700","'82084","'75690100","'1832","'1","'-","'399","'580",
"'TOTAL/2-20","'167","'9","'441.000","'82251","'76 /31.100","'1841","'1","'-","'400","'580",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'94.33593750","'93.01757813","'93.40820313","'95.80078125","'93.99414063","'96.43554688","'94.09179688","'95.89843750","'94.77539063","'93.65234375","'93.70117188",
"'88.52539063","'87.30468750","'87.64648438","'89.89257813","'88.23242188","'90.47851563","'88.33007813","'89.99023438","'88.96484375","'87.89062500","'87.93945313",
"'90.23437500","'88.96484375","'89.30664063","'91.60156250","'89.89257813","'92.18750000","'89.99023438","'91.69921875","'90.62500000","'89.55078125","'89.59960938",
"'91.01562500","'89.74609375","'90.08789063","'92.43164063","'90.72265625","'93.01757813","'90.82031250","'92.52929688","'91.45507813","'90.33203125","'90.38085938",
"'91.21093750","'89.89257813","'90.28320313","'92.62695313","'90.86914063","'93.21289063","'90.96679688","'92.72460938","'91.65039063","'90.52734375","'90.57617188",
"'91.65039063","'90.33203125","'90.72265625","'93.01757813","'91.30859375","'93.65234375","'91.40625000","'93.11523438","'92.04101563","'90.91796875","'90.96679688",
"'91.16210938","'89.89257813","'90.23437500","'92.57812500","'90.82031250","'93.16406250","'90.91796875","'92.67578125","'91.60156250","'90.47851563","'90.52734375",
"'91.99218750","'90.72265625","'91.06445313","'93.40820313","'91.69921875","'94.04296875","'91.79687500","'93.50585938","'92.43164063","'91.30859375","'91.35742188",
"'91.65039063","'90.33203125","'90.72265625","'93.01757813","'91.30859375","'93.65234375","'91.40625000","'93.11523438","'92.04101563","'90.91796875","'90.96679688",
"'91.69921875","'90.38085938","'90.77148438","'93.06640625","'91.35742188","'93.70117188","'91.45507813","'93.16406250","'92.08984375","'90.96679688","'91.01562500",
"'90.91796875","'89.64843750","'89.99023438","'92.33398438","'90.62500000","'92.91992188","'90.72265625","'92.43164063","'91.35742188","'90.23437500","'90.28320313",
"'90.77148438","'89.45312500","'89.84375000","'92.13867188","'90.42968750","'92.72460938","'90.52734375","'92.23632813","'91.16210938","'90.03906250","'90.08789063",
"'90.96679688","'89.69726563","'90.03906250","'92.38281250","'90.67382813","'92.96875000","'90.77148438","'92.48046875","'91.40625000","'90.28320313","'90.33203125",
"'91.01562500","'89.74609375","'90.08789063","'92.43164063","'90.72265625","'93.01757813","'90.82031250","'92.52929688","'91.45507813","'90.33203125","'90.38085938",
"'91.06445313","'89.79492188","'90.13671875","'92.48046875","'90.77148438","'93.06640625","'90.82031250","'92.57812500","'91.50390625","'90.38085938","'90.42968750",
"'90.33203125","'89.06250000","'89.40429688","'91.69921875","'89.99023438","'92.28515625","'90.08789063","'91.79687500","'90.72265625","'89.64843750","'89.69726563",
"'89.89257813","'88.62304688","'89.01367188","'91.25976563","'89.59960938","'91.89453125","'89.69726563","'91.35742188","'90.33203125","'89.20898438","'89.25781250",
"'90.38085938","'89.06250000","'89.45312500","'91.74804688","'90.03906250","'92.33398438","'90.13671875","'91.84570313","'90.77148438","'89.69726563","'89.74609375",
"'90.42968750","'89.11132813","'89.50195313","'91.79687500","'90.08789063","'92.38281250","'90.18554688","'91.89453125","'90.82031250","'89.74609375","'89.79492188",
"'89.59960938","'88.28125000","'88.67187500","'90.96679688","'89.25781250","'91.55273438","'89.35546875","'91.01562500","'89.99023438","'88.91601563","'88.91601563",
"'89.06250000","'87.79296875","'88.13476563","'90.42968750","'88.76953125","'91.01562500","'88.81835938","'90.52734375","'89.45312500","'88.37890625","'88.42773438",
"'88.91601563","'87.64648438","'88.03710938","'90.28320313","'88.62304688","'90.86914063","'88.72070313","'90.38085938","'89.30664063","'88.23242188","'88.28125000",
"'93.65234375","'92.33398438","'92.67578125","'95.06835938","'93.31054688","'95.70312500","'93.40820313","'95.16601563","'94.09179688","'92.91992188","'92.96875000",
