"'fecha","'kilos café","'N.jornales","'valor.jor","'A. kilos","'A.valor","'A.jor","'bultos","'kilos","'A.bultos","'A.kilos",
"'01 - 5","'359","'11","'359000","'359","'359000","'11","'1","'29","'1","'29",
"'01 - 12","'422","'10","'422000","'781","'781000","'21","'2","'-","'3","'29",
"'01 - 19","'387","'10","'387000","'1108","'1'168000","'31","'2","'-","'5","'29",
"'02 - 9","'516","'16","'516000","'1684","'1'684000","'47","'2","'23","'7","'52",
"'02-16","'464","'10","'464000","'2148","'2'1 48000","'57","'2","'12","'9","'64",
"'02 - 23","'1020","'20","'1'020 000","'3168","'3.168000","'77","'5","'-","'14","'04",
"'03.1","'434","'15","'434000","'3602","'3'602000","'92","'2","'6","'16","'70",
"'03.8","'979","'19","'979000","'4581","'4'581000","'111","'4","'35","'20","'105.",
"'03-15","'806","'20","'806000","'5387","'5'387000","'131","'4","'-","'24","'105",
"'03 - 22","'751","'15","'751000","'6138","'6'138000","'146","'3","'35","'27","'140",
"'03-29","'1278","'18","'1278000","'7416","'7'416 000","'104","'6","'15","'33","'155",
"'04.5","'3651","'41","'3'651000","'11007","'11'067000","'205","'18","'9","'51","'104",
"'04 - 12","'4091","'53","'4091000","'15158","'15'158000","'258","'20","'17","'71","'181",
"'04-19","'2199","'44","'2'199000","'17357","'17'357000","'302","'11","'-","'82","'181",
"'04-26","'707","'14","'707000","'18064","'18'064000","'316","'3","'21","'85","'202",
"'05 - 3","'740","'16","'740000","'18804","'18'804 000","'332","'3","'14","'88","'216",
"'05 - 10","'681","'15","'681000","'19485","'19'485000","'1013","'3","'28","'91","'244",
"'05 - 17","'395","'10","'395000","'19880","'19'880000","'1023","'2","'-","'93","'244",
"'05.22","'356","'10","'356000","'20236","'20'236000","'1033","'1","'11","'94","'255 .",
"'06.28","'181","'9","'217200","'20417","'20'453200","'1042","'1","'-","'9 5","'255",
"'","'324","'10","'388800","'20741","'20'842000","'1052","'1","'25","'96","'280",
"'07-19","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'95.31250000","'94.38476563","'95.11718750","'96.19140625","'95.21484375","'96.53320313","'95.01953125","'96.33789063","'95.36132813","'94.72656250","'93.94531250",
"'86.27929688","'85.44921875","'86.08398438","'87.06054688","'86.18164063","'87.35351563","'85.98632813","'87.15820313","'86.27929688","'85.74218750","'85.00976563",
"'90.33203125","'89.45312500","'90.13671875","'91.16210938","'90.23437500","'91.45507813","'90.08789063","'91.30859375","'90.38085938","'89.79492188","'89.01367188",
"'91.50390625","'90.62500000","'91.35742188","'92.33398438","'91.45507813","'92.67578125","'91.25976563","'92.48046875","'91.55273438","'90.96679688","'90.18554688",
"'92.23632813","'91.35742188","'92.04101563","'93.06640625","'92.13867188","'93.40820313","'91.94335938","'93.21289063","'92.28515625","'91.69921875","'90.86914063",
"'93.40820313","'92.52929688","'93.21289063","'94.28710938","'93.31054688","'94.58007813","'93.11523438","'94.38476563","'93.45703125","'92.87109375","'92.04101563",
