"'LOTE","'FECHA","'METODO","'N.DE LITROS","'VALOR","'N.DE JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'6","'04-10","'plate","'","'","'1,5","'","'72000","'5'201000",
"'2","'04-30","'Guadana","'5,5","'auadras x 110.000","'","'","'605000","'5'866000",
"'8","'04-22","'plateo","'","'","'4,0","'","'192000","'5'058000",
"'2","'05-23","'plateo","'","'","'","'","'312.000","'6'370000",
"'6","'05-15","'Guadaua","'","'","'","'","'55.000","'6'425000",
"'3","'05 - 1","'C.Q/W","'1.4+0,5","'74800","'","'80000","'154800","'6'579 800",
"'4","'05 - 3","'C.Q/20","'2,070.8","'107.600","'2, 3 cuadros","'184000","'291600","'6'871.400",
"'5","'05-10","'c.o/w","'0,8+0.4","'53000","'","'04000","'117.000","'6'988400",
"'6","'05 - 13","'e.Q/co","'2L+O,St08","'138000","'","'160.000","'298000","'7'286400",
"'1","'05 - 17","'c.q/co","'0,210.3","'11000","'","'40000","'51.000","'7'337400",
"'8","'05 - 23","'Guadana","'","'","'","'","'341000","'7'678400",
"'7","'05-29","'Guadana","'","'","'","'","'440000","'8118.400",
"'2","'06-12","'Guadawa","'","'","'","'","'605000","'8'723.400",
"'8","'06.19","'C.Q/CO","'","'","'3, seuadras","'x 80000","'248000","'8'971.400",
"'7","'06 - 27","'C. Q/10","'9L+32 to,6","'330000","'","'440000","'770000","'9' 741.400",
"'6","'06 - 14","'Gradaira","'","'","'","'","'55000","'9'796400",
"'varios","'06-28 Des","'bejueada","'","'","'22x48000","'","'1'056.000","'10852400",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'47.21679688","'85.20507813","'94.14062500","'93.99414063","'94.58007813","'93.75000000","'94.14062500","'94.92187500","'94.67773438",
"'44.14062500","'79.68750000","'88.03710938","'87.89062500","'88.47656250","'87.64648438","'88.03710938","'88.76953125","'88.57421875",
"'44.92187500","'81.05468750","'89.55078125","'89.45312500","'90.03906250","'89.20898438","'89.55078125","'90.33203125","'90.13671875",
"'45.09277344","'81.34765625","'89.89257813","'89.74609375","'90.33203125","'89.55078125","'89.89257813","'90.67382813","'90.42968750",
"'44.94628906","'81.10351563","'89.59960938","'89.50195313","'90.08789063","'89.25781250","'89.59960938","'90.38085938","'90.18554688",
"'45.19042969","'81.54296875","'90.08789063","'89.94140625","'90.52734375","'89.69726563","'90.08789063","'90.86914063","'90.62500000",
"'45.09277344","'81.34765625","'89.89257813","'89.74609375","'90.33203125","'89.55078125","'89.89257813","'90.67382813","'90.42968750",
"'45.77636719","'82.61718750","'91.25976563","'91.11328125","'91.69921875","'90.86914063","'91.25976563","'92.04101563","'91.79687500",
"'45.82519531","'82.66601563","'91.35742188","'91.21093750","'91.79687500","'90.96679688","'91.35742188","'92.13867188","'91.89453125",
"'45.36132813","'81.88476563","'90.47851563","'90.33203125","'90.91796875","'90.08789063","'90.47851563","'91.25976563","'91.01562500",
"'45.55664063","'82.22656250","'90.82031250","'90.72265625","'91.30859375","'90.47851563","'90.82031250","'91.60156250","'91.40625000",
"'45.60546875","'82.27539063","'90.91796875","'90.77148438","'91.40625000","'90.57617188","'90.91796875","'91.69921875","'91.50390625",
"'45.75195313","'82.56835938","'91.21093750","'91.06445313","'91.69921875","'90.82031250","'91.21093750","'91.99218750","'91.74804688",
"'45.80078125","'82.61718750","'91.30859375","'91.16210938","'91.74804688","'90.91796875","'91.30859375","'92.08984375","'91.84570313",
"'45.82519531","'82.66601563","'91.35742188","'91.21093750","'91.79687500","'90.96679688","'91.35742188","'92.13867188","'91.89453125",
"'45.62988281","'82.32421875","'90.96679688","'90.82031250","'91.45507813","'90.62500000","'90.96679688","'91.74804688","'91.55273438",
"'45.11718750","'81.39648438","'89.94140625","'89.79492188","'90.38085938","'89.59960938","'89.94140625","'90.72265625","'90.47851563",
"'46.65527344","'84.22851563","'93.06640625","'92.91992188","'93.50585938","'92.67578125","'93.06640625","'93.84765625","'93.60351563",
