"'LOTE","'FECHA","'METODO","'N.DE LITROS","'VALOR","'N.DE JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR","'",
"'4","'07-9","'C- Q/W","'2.4+0,8","'84800","'","'184000","'268.800","'11'121. 200","'",
"'5","'07-10","'C.Q/CO","'1.2 0 . 4","'42400","'","'88000","'130 400","'11'251.000","'",
"'2","'07-16","'Guadaug","'","'","'","'","'594000","'11'845 600","'",
"'7","'07-12","'C.O/co","'3,6+1,2","'127.200","'","'424000","'551.200","'12'396.800","'",
"'1","'07-19","'C.Q/W","'112 to.4","'42400","'","'80000","'122.400","'12'519.200","'",
"'3","'07 - 15","'C.Q/e0","'112 to 4","'42400","'","'120000","'102 400","'12 681.600","'",
"'8","'07-17","'c.o/w","'2.4+0,8","'84800","'","'248000","'332800","'13'014.400","'",
"'2","'07 - 25","'c.o/co","'4,8L+/16","'169.600","'","'440000","'609.600","'13624000","'",
"'6","'07-26","'C.Q/W","'0,6+0.2","'21.200","'","'40000","'61.200","'13 085.200","'",
"'4","'08-14","'Guadana","'","'","'","'","'112000","'23'797.200","'",
"'2","'09.2","'C.Q/W","'4,5L+/15","'187500","'","'432000","'619500","'14'416.700","'",
"'3","'09-10","'Guadaua","'","'","'","'","'110.000","'14'526.700","'",
"'4","'09 - 3","'C. Areo","'1,2+0,5","'43 500","'","'184000","'227500","'14754200","'",
"'8","'09-5","'Guadawa","'","'","'","'","'253000","'15'007.200","'",
"'5.6","'09.6","'C.O/co","'12205","'43500","'","'104000","'147.500","'15'154700","'",
"'1","'09-6","'C.Q/20","'0,81+0,25","'28000","'","'80000","'108.000","'15'202.700","'",
"'7","'09-13","'Guadawa","'","'3 cuadras","'","'","'330.000","'15'592 700","'",
"'7","'09 - 13 C.","'Q/W","'2L+1L","'70.000","'","'240000","'310000","'15'902 700","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
""'46.21582031","'80.02929688","'92.77343750","'93.21289063","'93.99414063","'93.06640625","'93.99414063","'93.65234375","'92.04101563","'39.77050781",
"'42.50488281","'73.63281250","'85.35156250","'85.79101563","'86.47460938","'85.64453125","'86.47460938","'86.18164063","'84.66796875","'36.59667969",
"'43.60351563","'75.48828125","'87.54882813","'87.98828125","'88.67187500","'87.84179688","'88.67187500","'88.37890625","'86.86523438","'37.52441406",
"'42.77343750","'74.07226563","'85.83984375","'86.27929688","'86.96289063","'86.13281250","'86.96289063","'86.66992188","'85.20507813","'36.81640625",
"'44.40917969","'76.85546875","'89.11132813","'89.55078125","'90.28320313","'89.45312500","'90.28320313","'89.99023438","'88.42773438","'38.20800781",
"'43.92089844","'76.02539063","'88.13476563","'88.57421875","'89.30664063","'88.42773438","'89.30664063","'89.01367188","'87.45117188","'37.79296875",
"'44.18945313","'76.51367188","'88.67187500","'89.16015625","'89.89257813","'89.01367188","'89.89257813","'89.55078125","'88.03710938","'38.03710938",
"'44.65332031","'77.34375000","'89.64843750","'90.08789063","'90.82031250","'89.94140625","'90.82031250","'90.47851563","'88.96484375","'38.42773438",
"'44.94628906","'77.83203125","'90.23437500","'90.67382813","'91.45507813","'90.57617188","'91.45507813","'91.11328125","'89.55078125","'38.69628906",
"'44.75097656","'77.49023438","'89.79492188","'90.28320313","'91.01562500","'90.13671875","'91.01562500","'90.67382813","'89.11132813","'38.50097656",
"'44.40917969","'76.85546875","'89.11132813","'89.55078125","'90.28320313","'89.45312500","'90.28320313","'89.99023438","'88.42773438","'38.20800781",
"'44.55566406","'77.14843750","'89.45312500","'89.89257813","'90.62500000","'89.74609375","'90.62500000","'90.33203125","'88.76953125","'38.35449219",
"'45.11718750","'78.12500000","'90.57617188","'91.01562500","'91.74804688","'90.86914063","'91.74804688","'91.45507813","'93.84765625","'93.84765625",
"'45.33691406","'78.46679688","'90.96679688","'91.45507813","'92.18750000","'91.30859375","'92.18750000","'91.84570313","'94.28710938","'94.28710938",
"'45.82519531","'79.34570313","'91.94335938","'92.43164063","'93.16406250","'92.28515625","'93.16406250","'92.87109375","'93.40820313","'93.40820313",
"'45.67871094","'79.10156250","'91.69921875","'92.13867188","'92.91992188","'91.99218750","'92.91992188","'92.57812500","'93.65234375","'93.65234375",
"'46.24023438","'80.07812500","'92.82226563","'93.26171875","'94.04296875","'93.11523438","'94.04296875","'93.70117188","'93.79882813","'93.79882813",
"'45.80078125","'79.29687500","'91.89453125","'92.38281250","'93.11523438","'92.23632813","'93.11523438","'92.82226563","'92.18750000","'92.18750000",
"'46.55761719","'80.61523438","'93.45703125","'93.94531250","'94.67773438","'93.79882813","'94.67773438","'94.38476563","'93.31054688","'93.31054688",
