"'LOTE","'FECHA","'METODO","'N.DE LITROS","'VALOR","'N.DE JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'6","'01 - 22","'Guadacia","'","'","'","'200.000","'","'200.000",
"'8","'01-23","'""","'","'","'","'250000","'","'450.000",
"'2","'02-25","'11","'","'5,5 euadras","'x 110 000","'","'605000","'1055.000",
"'6","'02 26","'11","'","'118 11","'","'","'198000","'1253 000",
"'7","'03 - 12","'11","'","'","'","'","'6 10 000","'1'863.000",
"'8","'03-16","'""","'","'1,8 ""","'","'","'198000","'2'061.000",
"'4","'03-18","'desbefucada","'","'","'4,5","'","'216000","'2'277000",
"'8","'02-9","'plateo","'","'","'10","'","'480000","'2'757000",
"'6","'02-21","'""","'","'","'6","'","'28 8000","'3'045000",
"'2","'03-12","'11","'","'","'8","'","'384000","'3'429000",
"'3","'03 - 14","'Guadaria","'","'","'","'","'165000","'3'594000",
"'1","'03-15","'11","'","'","'","'","'110.000","'3'704000",
"'5","'03 - 19","'11","'","'","'","'","'88000","'3'792000",
"'2","'04.1","'11","'","'5,5 Quadras","'x 110.000","'","'605000","'4'397000",
"'6","'04 - 3","'11","'","'","'","'","'198000","'4'595000",
"'4","'04.8","'11","'","'","'","'","'253000","'4'848000",
"'8","'04 - 12","'11","'","'","'","'","'341.000","'5'189000",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'76.36718750","'90.57617188","'93.65234375","'92.91992188","'94.67773438","'93.99414063","'94.48242188","'94.33593750","'94.23828125",
"'71.53320313","'84.81445313","'87.69531250","'87.01171875","'88.67187500","'87.98828125","'88.47656250","'88.33007813","'88.23242188",
"'74.65820313","'88.52539063","'91.55273438","'90.82031250","'92.57812500","'91.84570313","'92.33398438","'92.18750000","'92.08984375",
"'74.21875000","'88.03710938","'91.01562500","'90.33203125","'92.04101563","'91.35742188","'91.79687500","'91.69921875","'91.60156250",
"'74.41406250","'88.23242188","'91.25976563","'90.57617188","'92.28515625","'91.60156250","'92.04101563","'91.89453125","'91.79687500",
"'74.21875000","'88.03710938","'91.01562500","'90.33203125","'92.04101563","'91.35742188","'91.79687500","'91.69921875","'91.60156250",
"'74.41406250","'88.23242188","'91.25976563","'90.57617188","'92.28515625","'91.60156250","'92.04101563","'91.89453125","'91.79687500",
"'74.51171875","'88.37890625","'91.40625000","'90.72265625","'92.43164063","'91.74804688","'92.18750000","'92.04101563","'91.94335938",
"'74.36523438","'88.18359375","'91.21093750","'90.52734375","'92.23632813","'91.55273438","'91.99218750","'91.84570313","'91.74804688",
"'73.97460938","'87.69531250","'90.72265625","'89.99023438","'91.69921875","'91.01562500","'91.50390625","'91.35742188","'91.25976563",
"'74.36523438","'88.18359375","'91.21093750","'90.52734375","'92.23632813","'91.55273438","'91.99218750","'91.84570313","'91.74804688",
"'75.00000000","'88.91601563","'91.94335938","'91.25976563","'93.01757813","'92.28515625","'92.77343750","'92.62695313","'92.52929688",
"'73.82812500","'87.50000000","'90.52734375","'89.84375000","'91.50390625","'90.82031250","'91.30859375","'91.16210938","'91.06445313",
"'74.90234375","'88.81835938","'91.89453125","'91.16210938","'92.91992188","'92.18750000","'92.67578125","'92.52929688","'92.43164063",
"'73.82812500","'87.54882813","'90.57617188","'89.84375000","'91.55273438","'90.86914063","'91.35742188","'91.21093750","'91.11328125",
"'73.87695313","'87.59765625","'90.62500000","'89.89257813","'91.60156250","'90.91796875","'91.40625000","'91.25976563","'91.16210938",
"'74.26757813","'88.08593750","'91.06445313","'90.38085938","'92.08984375","'91.40625000","'91.84570313","'91.69921875","'91.65039063",
"'74.70703125","'88.62304688","'91.65039063","'90.91796875","'92.67578125","'91.94335938","'92.43164063","'92.28515625","'92.18750000",
