"'LOTES 1-3-44","'FECHA","'PRODUCTO","'P.CARENCIA","'P.INGRESO","'N. DE UTROS","'VALOR","'JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'076","'01-5","'voliam +","'","'","'14","'48000","'672000","'","'","'",
"'","'","'Amistar","'","'","'Canecas","'","'","'","'2942000","'",
"'","'","'","'","'","'","'870000","'","'","'","'",
"'","'","'","'","'Amis tar","'2.9L","'1'400.000","'","'","'","'",
"'","'","'","'","'voliacu","'4,0 2","'2'270000","'","'","'","'",
"'","'16","'3,6","'6,5","'","'","'","'","'","'","'",
"'Varios","'04- 17","'voliam-","'captra","'","'","'","'","'","'","'",
"'","'(3,9)","'Amistar","'surraxil","'G,S","'","'3526371","'","'","'4150371","'",
"'","'","'Isabion-","'potenzul","'","'","'","'","'","'","'7'092 371",
"'","'","'5.2","'1.3","'","'","'","'","'","'","'",
"'","'","'13 can","'ecas x48000","'= 62","'4000","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'07-","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'92.13867188","'89.79492188","'93.99414063","'94.62890625","'95.01953125","'94.18945313","'95.45898438","'95.60546875","'94.18945313","'87.15820313","'93.79882813",
"'85.49804688","'83.34960938","'87.25585938","'87.84179688","'88.18359375","'87.45117188","'88.57421875","'88.72070313","'87.45117188","'80.90820313","'87.06054688",
"'87.69531250","'85.44921875","'89.50195313","'90.08789063","'90.47851563","'89.69726563","'90.86914063","'91.01562500","'89.69726563","'83.00781250","'89.30664063",
"'87.30468750","'85.05859375","'89.06250000","'89.64843750","'90.03906250","'89.25781250","'90.42968750","'90.57617188","'89.25781250","'82.61718750","'88.91601563",
"'87.35351563","'85.10742188","'89.11132813","'89.69726563","'90.08789063","'89.30664063","'90.47851563","'90.62500000","'89.30664063","'82.66601563","'88.91601563",
"'87.69531250","'85.44921875","'89.50195313","'90.08789063","'90.47851563","'89.69726563","'90.86914063","'91.01562500","'89.69726563","'83.00781250","'89.30664063",
"'85.35156250","'83.15429688","'87.06054688","'87.64648438","'87.98828125","'87.25585938","'88.42773438","'88.52539063","'87.25585938","'80.76171875","'86.91406250",
"'87.06054688","'84.86328125","'88.81835938","'89.45312500","'89.79492188","'89.01367188","'90.18554688","'90.33203125","'89.01367188","'82.37304688","'88.67187500",
"'88.91601563","'86.66992188","'90.77148438","'91.35742188","'91.74804688","'90.91796875","'92.13867188","'92.28515625","'90.91796875","'84.17968750","'90.57617188",
"'86.13281250","'83.93554688","'87.89062500","'88.47656250","'88.86718750","'88.08593750","'89.25781250","'89.40429688","'88.08593750","'81.54296875","'87.74414063",
"'87.25585938","'85.00976563","'89.01367188","'89.59960938","'89.99023438","'89.20898438","'90.38085938","'90.52734375","'89.20898438","'82.56835938","'88.86718750",
"'87.30468750","'85.05859375","'89.06250000","'89.64843750","'90.03906250","'89.25781250","'90.42968750","'90.57617188","'89.25781250","'82.61718750","'88.91601563",
"'86.27929688","'84.08203125","'88.03710938","'88.62304688","'89.01367188","'88.23242188","'89.40429688","'89.55078125","'88.23242188","'81.64062500","'87.89062500",
"'89.06250000","'86.81640625","'90.86914063","'91.50390625","'91.84570313","'91.06445313","'92.28515625","'92.43164063","'91.06445313","'84.27734375","'90.72265625",
"'87.79296875","'85.54687500","'89.59960938","'90.18554688","'90.52734375","'89.74609375","'90.96679688","'91.11328125","'89.74609375","'83.05664063","'89.40429688",
"'89.40429688","'87.10937500","'91.21093750","'91.84570313","'92.18750000","'91.40625000","'92.62695313","'92.77343750","'91.40625000","'84.57031250","'91.01562500",
"'89.01367188","'86.76757813","'90.82031250","'91.45507813","'91.79687500","'91.01562500","'92.23632813","'92.38281250","'91.01562500","'84.22851563","'90.67382813",
