"'LOTES","'FECHA","'VALOR","'ACUMULADO VALOR",
"'2 7 8","'borbon 11-29","'300.000","'300.000",
"'","'","'","'",
"'","'","'","'",
"'","'","'","'",
"'","'","'","'",
"'","'","'","'",
,,,

'Confidence Scores % (Table Cell)
""'94.92187500","'94.82421875","'96.09375000","'94.53125000",
"'90.08789063","'89.99023438","'91.16210938","'89.69726563",
"'90.38085938","'90.33203125","'91.50390625","'90.03906250",
"'89.69726563","'89.59960938","'90.77148438","'89.35546875",
"'90.13671875","'90.03906250","'91.21093750","'89.74609375",
"'88.67187500","'88.57421875","'89.74609375","'88.28125000",
"'93.40820313","'93.31054688","'94.58007813","'93.06640625",
