"'LOTES","'FECHA","'TIPO DE ABONO 1 x 1","'DOSIS Gramor","'BULTOS","'VALOR","'JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'7","'","'Abotekt Nitrabor","'80","'22,0","'2'860.000","'6","'288000","'3'148000","'19480295",
"'1","'","'11 11","'80","'3,2","'416.000","'1i5","'72000","'488000","'19'968295",
"'4","'","'11 11","'80","'8,0","'1'040000","'2,0","'96000","'1'136000","'21'104295",
"'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'",
"'2.6","'09.3","'urea t A AP","'60g","'15","'1 950.000","'2,0","'96000","'2'046000","'23150295",
"'","'","'/ x /","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'",
"'8","'09.3","'"" "","'60g","'5,5","'715000","'1,0","'48000","'763000","'23913295",
"'","'","'","'","'","'","'","'","'","'",
"'Todo: s","'09.24","'thermo- corrector","'","'114","'3'917.040","'20","'1'000.000","'4917040","'28830335",
"'","'","'","'100g","'","'","'","'","'","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
""'94.62890625","'90.91796875","'96.28906250","'93.06640625","'95.06835938","'96.43554688","'95.16601563","'96.09375000","'94.53125000","'95.36132813",
"'89.06250000","'85.54687500","'90.62500000","'87.54882813","'89.45312500","'90.72265625","'89.55078125","'90.42968750","'88.96484375","'89.74609375",
"'90.82031250","'87.30468750","'92.43164063","'89.30664063","'91.25976563","'92.52929688","'91.35742188","'92.23632813","'90.77148438","'91.55273438",
"'91.40625000","'87.84179688","'92.96875000","'89.84375000","'91.84570313","'93.11523438","'91.89453125","'92.82226563","'91.30859375","'92.08984375",
"'90.72265625","'87.15820313","'92.28515625","'89.16015625","'91.11328125","'92.43164063","'91.21093750","'92.08984375","'90.62500000","'91.40625000",
"'89.84375000","'86.32812500","'91.40625000","'88.33007813","'90.28320313","'91.55273438","'90.38085938","'91.21093750","'89.74609375","'90.52734375",
"'91.25976563","'87.69531250","'92.82226563","'89.74609375","'91.69921875","'92.96875000","'91.79687500","'92.67578125","'91.16210938","'91.94335938",
"'88.72070313","'85.25390625","'90.28320313","'87.25585938","'89.16015625","'90.38085938","'89.20898438","'90.08789063","'88.62304688","'89.40429688",
"'89.06250000","'85.54687500","'90.62500000","'87.54882813","'89.45312500","'90.72265625","'89.55078125","'90.42968750","'88.96484375","'89.74609375",
"'91.79687500","'88.18359375","'93.35937500","'90.23437500","'92.18750000","'93.50585938","'92.28515625","'93.16406250","'91.69921875","'92.48046875",
"'89.25781250","'85.74218750","'90.77148438","'87.74414063","'89.64843750","'90.91796875","'89.74609375","'90.62500000","'89.16015625","'89.94140625",
"'90.67382813","'87.10937500","'92.23632813","'89.11132813","'91.06445313","'92.38281250","'91.16210938","'92.04101563","'90.57617188","'91.35742188",
"'90.77148438","'87.25585938","'92.38281250","'89.25781250","'91.21093750","'92.48046875","'91.30859375","'92.18750000","'90.72265625","'91.50390625",
