"'fecha","'kilos café","'N.jornales","'valor.jor","'A. kilos","'A.valor","'A.jor","'bultos","'kilos 24","'A.bultos 88","'A.kilos 426",
"'06-7","'329","'5","'296 100","'19289","'17360100","'306","'1","'-","'89","'426",
"'00-14","'207","'4","'186 300","'19496","'17'546400","'310","'1","'24","'89","'450",
"'07-26","'123","'5","'2927.600","'19619","'17'774000","'315","'-","'25","'","'475",
"'08-2","'127","'5","'232400","'19746","'18006400","'320","'-","'","'89 9'0","'475",
"'08-9","'228","'5","'308000","'19974","'18'314400","'325","'1","'-","'","'",
"'08-16","'320","'10","'384000","'20294","'18'698400","'335","'1","'20","'91","'495",
"'08-23","'205","'5","'326000","'20499","'19024400","'340","'1","'-","'92 93","'495 527",
"'08- 30","'376","'8","'536000","'20 885","'19'560400","'348","'1","'32 -","'94","'527",
"'09-6","'238","'5","'318000","'21113","'19 878400","'353","'1","'","'","'547",
"'09-14","'315","'5","'395000","'21428","'20'273400","'358","'1","'20 8","'95","'555",
"'09-20","'1053","'17","'1158300","'22481","'21'431700","'375","'5","'","'100","'559",
"'09-27","'5038","'56","'5'541 800","'27519","'26'973500","'431","'25","'4 -","'125","'559",
"'10.4","'2407","'2.5","'2'647 700","'29926","'29'621200","'456","'12","'8","'137","'567",
"'10-11","'1653,","'24","'1'818300","'31579","'31439500","'480","'8","'","'145","'596",
"'10-18","'926","'17","'1'018600","'32505","'32'458.100","'497","'4","'29 -","'149","'596",
"'10 - 25","'1183","'22","'1'301.300","'33688","'33 759 400","'519","'6","'10","'155","'606",
"'11 - 1","'1428","'17","'1'570800","'35116","'35 330.200","'536","'7","'","'162","'638",
"'11 - 8","'1342","'20","'1'476.200","'36458","'36 806.400","'556","'6","'32 -","'108","'638",
"'11.15","'1358","'17","'1'493700","'37816","'38'300.100","'573","'7","'","'175","'638",
"'11 - 22","'1361","'16","'1 497100","'39177","'39797.200","'589","'7","'-","'182","'638",
"'11-29","'581","'10","'639100","'39758","'40'436.300","'599","'3","'-00","'185","'",
"'","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'83.49609375","'88.81835938","'92.08984375","'93.16406250","'91.74804688","'93.65234375","'91.74804688","'93.40820313","'92.77343750","'91.30859375","'90.91796875",
"'68.26171875","'72.65625000","'75.29296875","'76.17187500","'75.00000000","'76.56250000","'75.00000000","'76.36718750","'75.83007813","'74.65820313","'74.36523438",
"'75.73242188","'80.61523438","'83.54492188","'84.52148438","'83.25195313","'84.96093750","'83.25195313","'84.76562500","'84.17968750","'82.86132813","'82.51953125",
"'75.73242188","'80.61523438","'83.54492188","'84.52148438","'83.25195313","'84.96093750","'83.25195313","'84.76562500","'84.17968750","'82.86132813","'82.51953125",
"'78.32031250","'83.34960938","'86.37695313","'87.40234375","'86.03515625","'87.84179688","'86.03515625","'87.59765625","'87.01171875","'85.64453125","'85.30273438",
"'80.12695313","'85.25390625","'88.37890625","'89.40429688","'88.03710938","'89.84375000","'88.03710938","'89.64843750","'89.01367188","'87.59765625","'87.25585938",
"'80.17578125","'85.30273438","'88.42773438","'89.45312500","'88.08593750","'89.89257813","'88.08593750","'89.69726563","'89.06250000","'87.64648438","'87.30468750",
"'81.93359375","'87.20703125","'90.38085938","'91.45507813","'90.03906250","'91.89453125","'90.03906250","'91.69921875","'91.06445313","'89.64843750","'89.25781250",
"'81.05468750","'86.23046875","'89.40429688","'90.42968750","'89.06250000","'90.91796875","'89.06250000","'90.67382813","'90.03906250","'88.62304688","'88.28125000",
"'81.10351563","'86.27929688","'89.45312500","'90.47851563","'89.11132813","'90.96679688","'89.11132813","'90.72265625","'90.08789063","'88.67187500","'88.33007813",
"'81.83593750","'87.06054688","'90.28320313","'91.30859375","'89.89257813","'91.74804688","'89.89257813","'91.55273438","'90.91796875","'89.50195313","'89.11132813",
"'82.56835938","'87.84179688","'91.06445313","'92.13867188","'90.67382813","'92.57812500","'90.67382813","'92.33398438","'91.69921875","'90.28320313","'89.89257813",
"'81.88476563","'87.10937500","'90.33203125","'91.35742188","'89.94140625","'91.79687500","'89.94140625","'91.60156250","'90.96679688","'89.55078125","'89.16015625",
"'79.44335938","'84.52148438","'87.59765625","'88.62304688","'87.25585938","'89.06250000","'87.25585938","'88.86718750","'88.23242188","'86.86523438","'86.52343750",
"'79.29687500","'84.37500000","'87.50000000","'88.47656250","'87.10937500","'88.91601563","'87.10937500","'88.72070313","'88.08593750","'86.71875000","'86.37695313",
"'80.46875000","'85.59570313","'88.76953125","'89.79492188","'88.37890625","'90.23437500","'88.37890625","'89.99023438","'89.40429688","'87.98828125","'87.64648438",
"'82.08007813","'87.35351563","'90.52734375","'91.60156250","'90.18554688","'92.04101563","'90.18554688","'91.84570313","'91.21093750","'89.74609375","'89.40429688",
"'82.37304688","'87.64648438","'90.86914063","'91.94335938","'90.52734375","'92.38281250","'90.52734375","'92.13867188","'91.50390625","'90.08789063","'89.74609375",
"'81.54296875","'86.76757813","'89.94140625","'90.96679688","'89.55078125","'91.45507813","'89.55078125","'91.21093750","'90.57617188","'89.16015625","'88.81835938",
"'80.07812500","'85.20507813","'88.33007813","'89.35546875","'87.98828125","'89.79492188","'87.98828125","'89.59960938","'88.96484375","'87.54882813","'87.20703125",
"'81.59179688","'86.86523438","'90.03906250","'91.06445313","'89.64843750","'91.55273438","'89.64843750","'91.30859375","'90.67382813","'89.25781250","'88.86718750",
"'83.39843750","'88.76953125","'91.99218750","'93.06640625","'91.65039063","'93.55468750","'91.65039063","'93.31054688","'92.67578125","'91.21093750","'90.82031250",
"'66.65039063","'70.89843750","'73.53515625","'74.36523438","'73.24218750","'74.75585938","'73.24218750","'74.56054688","'74.02343750","'72.90039063","'72.60742188",
