"'fecha","'kilos café","'N.jornales","'valor.jor","'A. kilos","'A.valor","'A.jor","'bultos","'kilos","'A.bultos","'A.kilos",
"'01 - 5","'320","'10","'288000","'320","'288000","'10","'1","'24","'1","'24",
"'01.12","'340","'7","'306000","'660","'594000","'17","'1","'28","'2","'52",
"'01.19","'367","'7","'330300","'1027","'924300","'24","'1","'36","'3","'88",
"'02-9","'666","'15","'599400","'1693","'j'523 700","'39","'3","'16","'6","'104",
"'02 - 16","'593","'16","'533700","'2286","'2'057 400","'55","'3","'-","'9","'104",
"'02 - 23","'500","'10","'450000","'2786","'2'507.400","'65","'2","'20","'11","'124",
"'03 - 1","'509","'10","'458 100","'3295","'2'965500","'75","'2","'24","'13","'148",
"'03-8","'865","'19","'778500","'4160","'3' 744000","'94","'4","'16","'17","'104",
"'03.15","'696","'11","'026400","'4856","'4'370400","'105","'3","'20","'20","'184",
"'03.22","'551","'10","'495900","'5407","'4'806 300","'115","'2","'32","'22","'216",
"'03-27","'421","'9","'378900","'5828","'5'245 200","'124","'2","'4","'24","'220",
"'04-5","'2003","'24","'1802700","'7831","'7'047900","'148","'10","'12","'34","'232",
"'04-12","'3198","'41","'2'878200","'11029","'9'926100","'189","'16","'20","'50","'252",
"'04-19","'2748","'30","'2'473200","'13777","'12' 399 300","'219","'14","'4","'04","'256",
"'04-26","'2278","'30","'2'050200","'16055","'14'449 500","'249","'11","'28","'75","'284",
"'05-3","'12.12","'20","'1'090.800","'17267","'15'540300","'269","'6","'10","'81","'294",
"'05.10","'700","'13.","'630000","'17967","'16'170300","'282","'3","'24","'84","'318",
"'05.17","'339","'9","'305100","'18306","'16'475400","'291","'1","'28","'85","'346",
"'05-24","'328","'5","'295200","'18634","'16'770600","'296","'1","'28","'86","'374",
"'05-31","'326","'5","'293400","'18960","'17004000","'301","'1","'28","'87","'402",
"'","'","'","'","'","'","'","'","'","'","'",
"'TOTAL","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'84.76562500","'90.42968750","'93.99414063","'95.84960938","'94.14062500","'96.72851563","'94.04296875","'96.04492188","'94.92187500","'93.16406250","'93.55468750",
"'80.27343750","'85.59570313","'89.01367188","'90.77148438","'89.16015625","'91.55273438","'89.06250000","'90.91796875","'89.89257813","'88.18359375","'88.57421875",
"'82.61718750","'88.13476563","'91.65039063","'93.40820313","'91.79687500","'94.23828125","'91.69921875","'93.60351563","'92.52929688","'90.77148438","'91.16210938",
"'82.71484375","'88.23242188","'91.74804688","'93.50585938","'91.89453125","'94.33593750","'91.79687500","'93.70117188","'92.62695313","'90.86914063","'91.25976563",
"'82.91015625","'88.42773438","'91.94335938","'93.75000000","'92.08984375","'94.58007813","'91.99218750","'93.94531250","'92.87109375","'91.11328125","'91.50390625",
"'83.44726563","'88.96484375","'92.52929688","'94.33593750","'92.67578125","'95.16601563","'92.57812500","'94.53125000","'93.40820313","'91.65039063","'92.04101563",
"'83.30078125","'88.81835938","'92.38281250","'94.18945313","'92.52929688","'95.01953125","'92.43164063","'94.38476563","'93.26171875","'91.55273438","'91.89453125",
"'83.20312500","'88.72070313","'92.23632813","'94.04296875","'92.38281250","'94.87304688","'92.28515625","'94.23828125","'93.11523438","'91.40625000","'91.74804688",
"'82.71484375","'88.23242188","'91.74804688","'93.50585938","'91.89453125","'94.33593750","'91.79687500","'93.70117188","'92.62695313","'90.86914063","'91.25976563",
"'82.47070313","'87.93945313","'91.45507813","'93.21289063","'91.60156250","'94.09179688","'91.50390625","'93.40820313","'92.33398438","'90.62500000","'90.96679688",
"'82.66601563","'88.18359375","'91.69921875","'93.45703125","'91.84570313","'94.28710938","'91.74804688","'93.65234375","'92.57812500","'90.82031250","'91.21093750",
"'83.15429688","'88.67187500","'92.18750000","'93.99414063","'92.33398438","'94.82421875","'92.23632813","'94.18945313","'93.11523438","'91.35742188","'91.74804688",
"'82.61718750","'88.08593750","'91.60156250","'93.35937500","'91.74804688","'94.18945313","'91.65039063","'93.55468750","'92.48046875","'90.72265625","'91.11328125",
"'82.56835938","'88.03710938","'91.55273438","'93.31054688","'91.69921875","'94.18945313","'91.60156250","'93.50585938","'92.43164063","'90.72265625","'91.06445313",
"'82.86132813","'88.33007813","'91.84570313","'93.65234375","'91.99218750","'94.48242188","'91.89453125","'93.84765625","'92.77343750","'91.01562500","'91.40625000",
"'82.91015625","'88.37890625","'91.89453125","'93.70117188","'92.04101563","'94.53125000","'91.94335938","'93.89648438","'92.82226563","'91.06445313","'91.45507813",
"'82.51953125","'87.98828125","'91.50390625","'93.26171875","'91.65039063","'94.14062500","'91.55273438","'93.45703125","'92.38281250","'90.67382813","'91.01562500",
"'83.00781250","'88.52539063","'92.04101563","'93.84765625","'92.18750000","'94.67773438","'92.08984375","'94.04296875","'92.96875000","'91.21093750","'91.60156250",
"'82.95898438","'88.47656250","'91.99218750","'93.79882813","'92.13867188","'94.62890625","'92.04101563","'93.99414063","'92.91992188","'91.16210938","'91.55273438",
"'82.76367188","'88.23242188","'91.79687500","'93.55468750","'91.89453125","'94.38476563","'91.84570313","'93.75000000","'92.67578125","'90.91796875","'91.30859375",
"'83.44726563","'88.96484375","'92.52929688","'94.33593750","'92.67578125","'95.16601563","'92.57812500","'94.53125000","'93.40820313","'91.65039063","'92.04101563",
"'81.68945313","'87.10937500","'90.57617188","'92.33398438","'90.72265625","'93.16406250","'90.62500000","'92.52929688","'91.45507813","'89.74609375","'90.08789063",
"'74.02343750","'78.95507813","'82.08007813","'83.69140625","'82.22656250","'84.42382813","'82.12890625","'83.83789063","'82.86132813","'81.34765625","'81.64062500",
